"OBJECTID","FID_J5ADCCAE55F1F458CB72D43BBA0","FID_JCEC669FB3C1942769A246F54CA","FID_JD5A3B0BAC9964E2A82FC17D52C","FID_JCFB10F4860614B8C9C6755F87E","NAME","STATE_NAME","STATE_FIPS","CNTY_FIPS","FIPS","POPULATION","POP_SQMI","POP2010","POP10_SQMI","WHITE","BLACK","AMERI_ES","ASIAN","HAWN_PI","HISPANIC","OTHER","MULT_RACE","MALES","FEMALES","AGE_UNDER5","AGE_5_9","AGE_10_14","AGE_15_19","AGE_20_24","AGE_25_34","AGE_35_44","AGE_45_54","AGE_55_64","AGE_65_74","AGE_75_84","AGE_85_UP","MED_AGE","MED_AGE_M","MED_AGE_F","HOUSEHOLDS","AVE_HH_SZ","HSEHLD_1_M","HSEHLD_1_F","MARHH_CHD","MARHH_NO_C","MHH_CHILD","FHH_CHILD","FAMILIES","AVE_FAM_SZ","HSE_UNITS","VACANT","OWNER_OCC","RENTER_OCC","NO_FARMS12","AVE_SIZE12","CROP_ACR12","AVE_SALE12","SQMI","NO_FARMS17","AVE_SIZE17","CROP_ACR17","AVE_SALE17","Shape_Leng","County","Zone","FID_JC691A5DE512F41389BD7E7BF18","price.region","Count_","Area.in.Square.Miles","FID_WI_MUNI_UTILITY_BOUNDARIES_","CODE","COLOR","UTIL_LAB","Util_Type","PSC_ID","AREA","PERIMETER","ADDRESS_1","ADDRESS_2","CITY","STATE","ZIP","PHONE","WEB","DATA_DATE","GIS_DATA","Shape_Leng.1","LABEL","FID_COOP_UTILITY_BOUNDARIES_COO","CODE.1","COLOR.1","UTIL_LAB.1","Util_Type.1","PSC_ID.1","AREA.1","PERIMETER.1","ADDRESS_1.1","ADDRESS_2.1","CITY.1","STATE.1","ZIP.1","PHONE.1","WEB.1","DATA_DATE.1","GIS_DATA.1","Shape_Leng.2","LABEL.1","FID_WI_IOU_UTILITY_BOUNDARIES_W","CITY.2","CODE.2","UTIL_LAB.2","PSC_ID.2","AREA.2","PERIMETER.2","DATA_DATE.2","GIS_DATA.2","ADDRESS_1.2","ADDRESS_2.2","STATE.2","ZIP.2","PHONE.2","WEB.2","Shape_Leng.3","UTIL_TYPE","LABEL.2","elec_utility","heating_load","cooling_load","NG_cool_NB","NG_cool_NB_capital","NG_cool_NB_MO","NG_cool_NB_emissions","NG_cool_private","NG_cool_CO2e","NG_nocool_NB","NG_nocool_NB_capital","NG_nocool_NB_MO","NG_nocool_NB_emissions","NG_nocool_private","NG_nocool_CO2e","HO_cool_NB","HO_cool_NB_capital","HO_cool_NB_MO","HO_cool_NB_emissions","HO_cool_private","HO_cool_CO2e","HO_nocool_NB","HO_nocool_NB_capital","HO_nocool_NB_MO","HO_nocool_NB_emissions","HO_nocool_private","HO_nocool_CO2e","P_cool_NB","P_cool_NB_capital","P_cool_NB_MO","P_cool_NB_emissions","P_cool_private","P_cool_CO2e","P_nocool_NB","P_nocool_NB_capital","P_nocool_NB_MO","P_nocool_NB_emissions","P_nocool_private","P_nocool_CO2e","ElecRes_cool_NB","ElecRes_cool_NB_capital","ElecRes_cool_NB_MO","ElecRes_cool_NB_emissions","ElecRes_cool_private","ElecRes_cool_CO2e","ElecRes_nocool_NB","ElecRes_nocool_NB_capital","ElecRes_nocool_NB_MO","ElecRes_nocool_NB_emissions","ElecRes_nocool_private","ElecRes_nocool_CO2e","wood_cool_NB","wood_cool_NB_capital","wood_cool_NB_MO","wood_cool_NB_emissions","wood_cool_private","wood_cool_CO2e","wood_nocool_NB","wood_nocool_NB_capital","wood_nocool_NB_MO","wood_nocool_NB_emissions","wood_nocool_private","wood_nocool_CO2e","perc_positive_NB_NG_cool","perc_positive_private_NG_cool","perc_positive_NB_NG_nocool","perc_positive_private_NG_nocool","perc_positive_NB_P_cool","perc_positive_private_P_cool","perc_positive_NB_P_nocool","perc_positive_private_P_nocool","perc_positive_NB_HO_cool","perc_positive_private_HO_cool","perc_positive_NB_HO_nocool","perc_positive_private_HO_nocool","perc_positive_NB_ElecRes_cool","perc_positive_private_ElecRes_cool","perc_positive_NB_ElecRes_nocool","perc_positive_private_ElecRes_nocool","perc_positive_NB_wood_cool","perc_positive_private_wood_cool","perc_positive_NB_wood_nocool","perc_positive_private_wood_nocool"
486,616,95,95,57,"Sauk County","Wisconsin",55,111,55111,64856,76.4,61976,73,58588,357,769,337,13,2675,1156,756,30848,31128,3979,4014,4170,3930,3336,7734,8044,9545,7936,4769,2962,1557,39.9,38.5,41.4,25192,2.43,3082,3805,5191,7832,850,1637,16634,2.94,29708,4516,17690,7502,1665,200,209776,124356,849.19,1412,212,197736,133470,2.33447792,"Sauk",9,2,1,416,0.55413155,-1,"",0,"","",0,0,"","","","","","","","","12/30/1899 12:00:00 AM","",0,"",15,"C-12",83,"OAKDALE ELECTRIC COOPERATIVE","Cooperative",4320,1361.977719,418.2959797,"PO Box 128","489 N Oakwood Street","Oakdale","WI","54649-0128","608-372-4131","https://www.oakdalerec.com","7/15/09 0:00","X",673183.4715,"Oakdale Electric Cooperative",-1,"","","",0,0,NA,"12/30/1899 12:00:00 AM","","","","","","","",0,"","",4320,-73.5256773377589,-1209.73963094224,135.768363249495,-613.029253184784,215.259605014513,533.53801141977,-397.769648170271,16549.7147051144,-6848.25712297465,-7391.11018962555,215.259605014513,327.593461636392,-7175.85058461104,10175.8570180633,10542.0875058763,-613.029253184784,9237.50483029355,1917.61192876757,8624.47557710876,59339.2539425117,3558.06201965219,-7391.11018962555,9237.50483029355,1711.66737898419,1846.39464066799,52965.3962554606,13440.7656022287,-613.029253184784,12857.4033462698,1196.39150914373,12244.374093085,37038.2699627529,6456.7401160046,-7391.11018962555,12857.4033462698,990.44695936035,5466.29315664425,30664.4122757018,19936.9705616501,-613.029253184784,18150.4860162939,2399.51379854103,17537.4567631091,74282.5894977621,12952.945075426,-7391.11018962555,18150.4860162939,2193.56924875765,10759.3758266683,67908.7318107111,12640.7302501202,-613.029253184786,10997.030129982,2256.72937332303,10384.0008767972,69882.0337246355,5656.70476389607,-7391.11018962555,10997.030129982,2050.78482353965,3605.91994035642,63508.1760375845,0.593,0.137,0,0,1,1,0.911,0.892,1,1,0.887,0.78,1,1,1,1,0,1,0,1
487,617,95,95,57,"Sauk County","Wisconsin",55,111,55111,64856,76.4,61976,73,58588,357,769,337,13,2675,1156,756,30848,31128,3979,4014,4170,3930,3336,7734,8044,9545,7936,4769,2962,1557,39.9,38.5,41.4,25192,2.43,3082,3805,5191,7832,850,1637,16634,2.94,29708,4516,17690,7502,1665,200,209776,124356,849.19,1412,212,197736,133470,2.33447792,"Sauk",9,2,1,416,0.55413155,-1,"",0,"","",0,0,"","","","","","","","","12/30/1899 12:00:00 AM","",0,"",16,"C-23",83,"VERNON ELECTRIC COOPERATIVE","Cooperative",6080,926.5649281,392.060786," ","110 Saugstad Road","Westby","WI","54667-8426","608-634-3121","https://www.vernonelectric.org","11/23/09 0:00","X",630961.9356,"Vernon Electric Cooperative",-1,"","","",0,0,NA,"12/30/1899 12:00:00 AM","","","","","","","",0,"","",6080,-73.5256773377589,-1209.73963094224,-193.240989253321,-636.11234007265,45.6343900012853,397.236960818045,-590.477950071365,12243.6769632183,-7138.76929790208,-7375.11017364116,45.6343900012853,190.706485737802,-7329.47578363988,5869.4516059454,9701.8324164325,-636.11234007265,8456.05580115537,1881.88895534978,7819.94346108272,58119.5007096622,2756.30410778374,-7375.11017364116,8456.05580115537,1675.35848026954,1080.9456275142,51745.2753523894,12529.532209794,-636.11234007265,11968.3533630082,1197.29118685841,11332.2410229356,36965.4303374219,5584.00390114521,-7375.11017364116,11968.3533630082,990.760711778172,4593.24318936704,30591.204980149,21115.6851651642,-636.11234007265,19343.3999530424,2408.39755219448,18707.2876129697,74321.5166969692,14170.1568565155,-7375.11017364116,19343.3999530424,2201.86707711424,11968.2897794012,67947.2913396963,12369.5809211296,-636.11234007265,10801.9326971256,2203.76056407672,10165.8203570529,67988.4787736446,5424.05261248088,-7375.11017364116,10801.9326971256,1997.23008899648,3426.8225234844,61614.2534163718,0.28,0.024,0,0,1,1,0.871,0.868,1,0.975,0.841,0.631,1,1,1,1,0,1,0,1
488,201,206,70,42,"Monroe County","Wisconsin",55,81,55081,46889,51.6,44673,49.2,41940,512,510,289,40,1661,764,618,22648,22025,3236,3230,3221,3023,2228,5321,5468,6939,5784,3311,2036,876,39,38.7,39.3,17376,2.52,2346,2303,3743,5417,608,1216,11740,3.05,19204,1828,12404,4972,1926,175,173238,104903,908.08,1555,193,165234,130380,2.19320659,"Monroe",7,4,3,160,1.53958269,30,"M-14",9,"CASHTON MUNICIPAL ELECTRIC & WATER UTILITY","Municipal",970,1.54032396,"8.002605982","PO Box 188","709 Main Street","Cashton","WI","54619-0188","608-654-5160","http://www.villageofcashton.info/cashton-utilities","2/13/15 0:00"," ",12878.97168,"Cashton Municipal Electric & Water Utility",-1,"",0,"","",0,0,NA,"","","","","","","","12/30/1899 12:00:00 AM","",0,"",9,"Eau Claire","NSPW","NORTHERN STATES POWER COMPANY-WISCONSIN",4220,7182.970871,3865.523269,"12/19/19 0:00","X"," ","1414 West Hamilton Avenue","WI","54701","715-839-2625","https://www.xcelenergy.com",6220969.121,"Investor-Owned","Northern States Power Company-Wisconsin",970,-75.106904204506,-1185.82768318286,464.312245641613,-616.489236752646,472.347563895859,608.453918498403,-144.141672856787,18669.0298880991,-6554.7217239642,-7432.20350730114,472.347563895859,405.134219441083,-6959.85594340528,12420.4383005523,11359.4659324147,-616.489236752645,10064.9020115355,1911.05315763192,9448.41277478281,58740.2755669533,4340.43196280892,-7432.20350730114,10064.9020115355,1707.7334585746,2632.69850423431,52491.6839794065,14219.644830082,-616.489236752646,13672.2432866008,1163.89078023388,13055.7540498481,35753.2577600886,7200.61086047618,-7432.20350730114,13672.2432866008,960.571081176563,6240.03977929962,29504.6661725418,18155.3580068044,-616.489236752646,16369.2509185153,2402.5963250417,15752.7616817627,73822.2295503045,11136.3240371985,-7432.20350730114,16369.2509185153,2199.27662598438,8937.04741121417,67573.6379627577,12752.1848780118,-616.489236752646,11087.5189564538,2281.15515831068,10471.0297197012,70075.6967451058,5733.15090840602,-7432.20350730114,11087.5189564538,2077.83545925336,3655.31544915267,63827.105157559,0.797,0.32,0,0,1,1,0.924,0.897,1,1,0.889,0.86,1,1,1,1,0,1,0,1
489,132,137,18,9,"Chippewa County","Wisconsin",55,17,55017,65828,63.2,62415,59.9,59504,982,310,774,14,800,182,649,32404,30011,4117,4024,4045,3914,3335,7883,8098,9965,8099,4664,2966,1305,40.1,39,41.2,24410,2.45,2943,3343,5216,8185,737,1506,16677,2.93,27185,2775,18203,6207,1757,219,249869,144107,1041.27,1409,253,243035,152830,2.35891993,"Chippewa",4,4,3,160,4.07212185,6,"M-19",31,"CORNELL MUNICIPAL WATER & ELECTRIC UTILITY","Municipal",1370,12.02741771,"17.27096171","PO Box 796"," ","Cornell","WI","54732-0796","715-239-3717","http://www.cityofcornell.com/","12/13/12 0:00"," ",15239.14428,"Cornell Municipal Water & Electric Utility",-1,"",0,"","",0,0,NA,"","","","","","","","12/30/1899 12:00:00 AM","",0,"",9,"Eau Claire","NSPW","NORTHERN STATES POWER COMPANY-WISCONSIN",4220,7182.970871,3865.523269,"12/19/19 0:00","X"," ","1414 West Hamilton Avenue","WI","54701","715-839-2625","https://www.xcelenergy.com",6220969.121,"Investor-Owned","Northern States Power Company-Wisconsin",1370,-89.126368950941,-969.598391796848,598.451110171089,-611.742064730557,561.853371137622,648.339803764023,-49.8886935929349,19963.3465891713,-6315.76545049306,-7360.76829835295,561.853371137622,483.149476722267,-6798.91492721533,14853.8573386127,13033.4995815276,-611.742064730559,11490.4495945087,2154.79205174945,10878.7075297781,66550.3070978163,6119.28302086341,-7360.76829835295,11490.4495945087,1989.60172470769,4129.68129615571,61440.8178472577,16521.9913220813,-611.742064730557,15843.6079892642,1290.12539754768,15231.8659245336,39824.2231407131,9607.77476141713,-7360.76829835295,15843.6079892642,1124.93507050593,8482.83969091121,34714.7338901546,20595.3073823004,-611.742064730557,18455.1662395637,2751.88320746725,17843.4241748332,85040.5524969271,13681.0908216363,-7360.76829835295,18455.1662395637,2586.69288042549,11094.3979412108,79931.0632463685,14333.4871382267,-611.742064730555,12462.061842586,2483.16736037123,11850.3197778554,76606.9888727013,7419.2705775625,-7360.76829835295,12462.061842586,2317.97703332947,5101.29354423303,71497.4996221427,0.873,0.403,0,0,1,1,0.969,0.931,1,1,0.896,0.895,1,1,1,1,0,1,0,1
495,9,9,9,4,"Bayfield County","Wisconsin",55,7,55007,15308,10.1,15014,9.9,13024,46,1435,48,1,158,29,431,7716,7298,664,753,873,833,481,1263,1587,2636,2812,1867,896,349,49.4,49,49.8,6686,2.23,1027,923,1036,2546,170,293,4368,2.71,12999,6313,5465,1221,352,204,36296,39530,1511.34,427,190,42610,37301,3.72934965,"Bayfield",1,4,3,160,64.78345694,-1,"",0,"","",0,0,"","","","","","","","","12/30/1899 12:00:00 AM","",0,"",-1,"",0,"","",0,0,NA,"","","","","","","","12/30/1899 12:00:00 AM","",0,"",2,"Solon Springs","DLP","DAHLBERG LIGHT & POWER COMPANY",1510,650.1791738,404.4257322,"12/28/16 0:00","X"," ","9221 East Main Street","WI","54873","715-378-2205","https://www.dahlberglightandpower.com",650861.4273,"Investor-Owned","Dahlberg Light & Power Company",1510,-96.7886299098186,-291.345110078534,-458.525690246559,-608.291970617413,-22.0835251654808,171.849805536329,-630.375495782893,5274.9201311584,-7265.822744736,-7365.25867105006,-22.0835251654808,121.519451479542,-7387.34219621555,3739.5312775279,10887.7216497402,-608.291970617413,9270.84456900756,2225.16905135008,8662.55259839014,67988.1770047962,4080.42459525078,-7365.25867105006,9270.84456900756,2174.8386972933,1905.58589795749,66452.7881511657,14542.6016860222,-608.291970617413,13732.3805394989,1418.5131171407,13124.0885688815,43310.6226615624,7735.30463153272,-7365.25867105006,13732.3805394989,1368.18276308391,6367.12186844881,41775.2338079319,28601.4955496672,-608.291970617413,26159.4210128859,3050.36650739878,25551.1290422684,93088.8183687084,21794.1984951778,-7365.25867105006,26159.4210128859,3000.036153342,18794.1623418358,91553.4295150778,13223.8097792953,-608.291970617413,11688.381674212,2143.72007570077,11080.0897035946,65527.5293128295,6416.51272480589,-7365.25867105006,11688.381674212,2093.38972164399,4323.12300316191,63992.1404591989,0.07,0.001,0,0,1,1,0.897,0.895,0.995,0.925,0.874,0.638,1,1,1,1,0,1,0,1
496,9,9,9,4,"Bayfield County","Wisconsin",55,7,55007,15308,10.1,15014,9.9,13024,46,1435,48,1,158,29,431,7716,7298,664,753,873,833,481,1263,1587,2636,2812,1867,896,349,49.4,49,49.8,6686,2.23,1027,923,1036,2546,170,293,4368,2.71,12999,6313,5465,1221,352,204,36296,39530,1511.34,427,190,42610,37301,3.72934965,"Bayfield",1,4,3,160,105.580604,-1,"",0,"","",0,0,"","","","","","","","","12/30/1899 12:00:00 AM","",0,"",-1,"",0,"","",0,0,NA,"","","","","","","","12/30/1899 12:00:00 AM","",0,"",9,"Eau Claire","NSPW","NORTHERN STATES POWER COMPANY-WISCONSIN",4220,7182.970871,3865.523269,"12/19/19 0:00","X"," ","1414 West Hamilton Avenue","WI","54701","715-839-2625","https://www.xcelenergy.com",6220969.121,"Investor-Owned","Northern States Power Company-Wisconsin",4220,-96.7886299098186,-291.345110078534,-355.980128512758,-622.792171457682,-1.91488368533828,268.726926630261,-624.707055143021,8378.97485226631,-7119.27356654756,-7336.91159025289,-1.91488368533828,219.55290739067,-7338.82647393823,6843.49745154807,11403.9972153411,-622.792171457682,9827.42533153959,2199.36405525922,9204.63316008191,68685.0758284418,4640.70377730633,-7336.91159025289,9827.42533153959,2150.19003601963,2490.5137412867,67149.5984277235,15134.875513416,-622.792171457682,14370.0972833556,1387.57040151811,13747.3051118979,43316.9304765122,8371.58207538121,-7336.91159025289,14370.0972833556,1338.39638227852,7033.18569310269,41781.4530757939,27192.5704514943,-622.792171457682,24837.2329313477,2978.12969160423,24214.44075989,92977.0017106583,20429.2770134595,-7336.91159025289,24837.2329313477,2928.95567236464,17500.3213410948,91441.52430994,13894.1817892247,-622.79217145768,12247.2636740339,2269.71028664853,11624.4715025762,70828.9766031568,7130.88835118995,-7336.91159025289,12247.2636740339,2220.53626740894,4910.35208378101,69293.4992024386,0.142,0.014,0,0,1,1,0.891,0.879,1,0.942,0.87,0.757,1,1,1,1,0,1,0,1
497,15,15,15,8,"Calumet County","Wisconsin",55,15,55015,52637,132.6,48971,123.4,46187,246,203,1031,16,1690,705,583,24543,24428,3418,3827,3678,3389,2091,5895,7314,8108,5626,2977,1879,769,38.3,37.7,38.9,18575,2.63,1852,2072,5449,6378,438,882,13780,3.06,19695,1120,15066,3509,719,198,120851,296527,397.08,684,225,131510,297601,1.42541136,"Calumet",6,2,1,416,142.7430265,-1,"",0,"","",0,0,"","","","","","","","","12/30/1899 12:00:00 AM","",0,"",-1,"",0,"","",0,0,NA,"","","","","","","","12/30/1899 12:00:00 AM","",0,"",1,"Green Bay","WPSC","WISCONSIN PUBLIC SERVICE CORPORATION",6690,9748.436843,1609.078781,"1/9/19 0:00","X","P.O. Box 19003"," ","WI","54307-9003","800-450-7260","https://www.wisconsinpublicservice.com",2589566.461,"Investor-Owned","Wisconsin Public Service Corporation",6690,-88.7802261013168,-1178.55350904384,-153.51263892604,-622.151355427515,11.1685252008556,457.470191300619,-610.98283022666,14445.9684387363,-7112.97896753074,-7382.3867045552,11.1685252008556,258.2392118236,-7371.21817935434,8234.2745624699,12430.8250459661,-622.151355427515,10742.5004505234,2310.47595087026,10120.3490950959,72190.1360800623,5471.35871736144,-7382.3867045552,10742.5004505234,2111.24497139324,3360.1137459682,65978.4422037959,15986.2673802632,-622.151355427515,15156.8193644054,1451.59937128526,14534.6680089779,45328.5018299266,9026.8010516585,-7382.3867045552,15156.8193644054,1252.36839180824,7774.43265985025,39116.8079536603,25832.8905825273,-622.151355427515,23560.8792462443,2894.16269171052,22938.7278908168,90302.643610526,18873.4242539226,-7382.3867045552,23560.8792462443,2694.9317122335,16178.4925416891,84090.9497342596,15738.8145470357,-622.151355427515,13571.9313270711,2789.03457539214,12949.7799716436,87111.1622468394,8779.34821843101,-7382.3867045552,13571.9313270711,2589.80359591512,6189.54462251589,80899.468370573,0.312,0.041,0,0,1,1,0.946,0.919,1,0.989,0.912,0.9,1,1,1,1,0,1,0,1
498,15,15,15,8,"Calumet County","Wisconsin",55,15,55015,52637,132.6,48971,123.4,46187,246,203,1031,16,1690,705,583,24543,24428,3418,3827,3678,3389,2091,5895,7314,8108,5626,2977,1879,769,38.3,37.7,38.9,18575,2.63,1852,2072,5449,6378,438,882,13780,3.06,19695,1120,15066,3509,719,198,120851,296527,397.08,684,225,131510,297601,1.42541136,"Calumet",6,2,1,416,51.98498903,-1,"",0,"","",0,0,"","","","","","","","","12/30/1899 12:00:00 AM","",0,"",-1,"",0,"","",0,0,NA,"","","","","","","","12/30/1899 12:00:00 AM","",0,"",10,"Superior","WEP","WISCONSIN ELECTRIC POWER COMPANY",6630,6535.682729,1246.223422,"12/19/19 0:00","X"," ","2915 Hill Avenue","WI","54880","414-221-2345","https://www.we-energies.com",2005606.199,"Investor-Owned","Wisconsin Electric Power Company",6630,-88.7802261013168,-1178.55350904384,-614.4147155313,-629.149002366838,-7.44938083949455,22.1836676750327,-636.598383206332,670.822616268662,-7550.44648317418,-7362.12517201168,-7.44938083949455,-180.871930322997,-7369.57455285118,-5541.22945197471,9246.50150006085,-629.149002366838,7692.9312628723,2182.71923955538,7063.78226050547,66915.0435071237,2310.46973241798,-7362.12517201168,7692.9312628723,1979.66364155735,330.80609086062,60702.9914388803,12715.2687150043,-629.149002366838,11865.8149698408,1478.6027475303,11236.665967474,45226.1126749539,5779.23694736139,-7362.12517201168,11865.8149698408,1275.54714953227,4503.68979782912,39014.0606067105,31451.1600051883,-629.149002366838,29122.3169658051,2957.99204175001,28493.1679634383,90493.6004024041,24515.1282375454,-7362.12517201168,29122.3169658051,2754.93644375198,21760.1917937934,84281.5483341607,12877.8183500728,-629.149002366838,11368.5121569838,2138.45519545576,10739.363154617,65440.1678939181,5941.78658242988,-7362.12517201168,11368.5121569838,1935.39959745773,4006.38698497215,59228.1158256747,0.003,0.001,0,0,1,1,0.892,0.881,0.944,0.897,0.784,0.316,1,1,1,1,0,1,0,1
501,607,91,91,55,"Rusk County","Wisconsin",55,107,55107,15008,16.1,14755,15.9,14398,61,74,41,1,173,37,143,7371,7384,813,868,954,1004,575,1332,1658,2393,2194,1515,999,450,45.7,45,46.6,6232,2.34,911,972,1074,2125,196,331,4013,2.89,8883,2651,4770,1462,529,253,70073,121366,930.86,501,272,70661,107354,2.4177567,"Rusk",4,4,3,160,2.77025976,-1,"",0,"","",0,0,"","","","","","","","","12/30/1899 12:00:00 AM","",0,"",24,"C-02",83,"BARRON ELECTRIC COOPERATIVE","Cooperative",378,1484.802432,286.3906214,"PO Box 40","1434 STH 25 N","Barron","WI","54812-0261","800-322-1008","https://www.barronelectric.com","12/21/20 0:00","X",460901.95,"Barron Electric Cooperative",-1,"","","",0,0,NA,"12/30/1899 12:00:00 AM","","","","","","","",0,"","",378,-74.5034440521083,-985.646615763617,-601.72891077949,-619.025018979297,-9.44442508544671,26.7405332852522,-628.469444064744,825.553234175677,-7514.26299297653,-7364.82993418111,-9.44442508544671,-139.988633709974,-7374.27435926656,-4370.00309969769,6130.75800520776,-619.025018979297,5260.54933657576,1489.23368761129,4641.52431759646,46191.8300756206,-781.776076989288,-7364.82993418111,5260.54933657576,1322.50452061607,-2104.28059760536,40996.2737417472,8824.83418442053,-619.025018979297,8429.73368940594,1014.12551399388,7810.70867042664,31535.7605642042,1912.30010222348,-7364.82993418111,8429.73368940594,847.396346998658,1064.90375522482,26340.2042303309,24058.6839007675,-619.025018979297,22393.7230327371,2283.98588700971,21774.6980137578,71146.2942002338,17146.1498185705,-7364.82993418111,22393.7230327371,2117.25672001448,15028.893098556,65950.7378663604,7409.63355323919,-619.025018979297,7007.31284490051,1021.34572731798,6388.28782592121,31713.7583155371,497.099471042144,-7364.82993418111,7007.31284490051,854.616560322751,-357.517089280605,26518.2019816637,0.002,0,0,0,1,1,0.74,0.616,0.914,0.878,0.194,0.1,1,1,1,1,0,1,0,0.395
502,606,91,91,55,"Rusk County","Wisconsin",55,107,55107,15008,16.1,14755,15.9,14398,61,74,41,1,173,37,143,7371,7384,813,868,954,1004,575,1332,1658,2393,2194,1515,999,450,45.7,45,46.6,6232,2.34,911,972,1074,2125,196,331,4013,2.89,8883,2651,4770,1462,529,253,70073,121366,930.86,501,272,70661,107354,2.4177567,"Rusk",4,4,3,160,2.77025976,-1,"",0,"","",0,0,"","","","","","","","","12/30/1899 12:00:00 AM","",0,"",5,"C-05",83,"CHIPPEWA VALLEY ELECTRIC COOPERATIVE","Cooperative",1127,762.4427101,227.8805556,"PO Box 575","317 S 8th Street","Cornell","WI","54732-0575","715-239-6800","https://www.cvecoop.com","7/13/09 0:00"," ",366738.9383,"Chippewa Valley Electric Cooperative",-1,"","","",0,0,NA,"12/30/1899 12:00:00 AM","","","","","","","",0,"","",1127,-74.5034440521083,-985.646615763617,-317.329820413106,-625.343044164139,39.2901460736339,268.7230776774,-586.052898090506,8350.03876078677,-7225.06037529846,-7365.2494979499,39.2901460736339,100.898976577808,-7325.95935187627,3154.18286418059,9028.097001645,-625.343044164138,7914.93361706103,1738.50642874812,7289.59057289689,53828.9389230348,2120.36644675965,-7365.2494979499,7914.93361706103,1570.68232764852,549.684119111128,48633.0830264286,12007.6624104572,-625.343044164139,11564.2913884165,1068.71406620484,10938.9483442524,33095.7182891859,5099.93185557186,-7365.2494979499,11564.2913884165,900.889965105245,4199.04189046661,27899.8623925797,20054.0238717105,-625.343044164139,18382.8814175839,2296.4854982907,17757.5383734198,71087.5227096305,13146.2933168251,-7365.2494979499,18382.8814175839,2128.66139719111,11017.631919634,65891.6668130243,10680.9841224766,-625.343044164139,9519.2845440783,1787.04262256246,8893.94149991416,55270.2228142423,3773.25356759127,-7365.2494979499,9519.2845440783,1619.21852146287,2154.0350461284,50074.3669176361,0.175,0.012,0,0,1,1,0.914,0.904,0.998,0.964,0.75,0.399,1,1,1,1,0,1,0,0.98
504,109,112,112,68,"Waukesha County","Wisconsin",55,133,55133,411705,709.2,389891,671.5,363963,4914,1066,10721,131,16123,4041,5055,191355,198536,21474,26223,28181,26509,18304,40172,51771,68404,53165,28754,19025,7909,41.9,40.8,42.9,152663,2.52,14687,21599,39453,53281,2951,6611,108810,3,160864,8201,117270,35393,557,166,75648,98859,580.54,574,170,71502,88945,1.64725752,"Waukesha",11,2,1,416,561.3149859,-1,"",0,"","",0,0,"","","","","","","","","12/30/1899 12:00:00 AM","",0,"",-1,"",0,"","",0,0,NA,"","","","","","","","12/30/1899 12:00:00 AM","",0,"",10,"Superior","WEP","WISCONSIN ELECTRIC POWER COMPANY",6630,6535.682729,1246.223422,"12/19/19 0:00","X"," ","2915 Hill Avenue","WI","54880","414-221-2345","https://www.we-energies.com",2005606.199,"Investor-Owned","Wisconsin Electric Power Company",6630,-95.2559290215561,-1029.37726745174,-622.711391743775,-637.690543292938,-8.31944723745255,23.2985987866123,-646.00999053039,718.798429786737,-7539.76266349309,-7379.96202333375,-8.31944723745255,-151.481192921883,-7388.2814705712,-4707.89732754098,9225.2562993109,-637.690543292938,7687.97724875639,2174.96959384745,7050.28670546345,67409.4478446052,2308.20502756158,-7379.96202333375,7687.97724875639,2000.18980213895,308.015225422633,61982.7520872775,12910.0182919254,-637.690543292938,12057.0790574753,1490.62977774312,11419.3885141823,46216.5484203409,5992.96702017613,-7379.96202333375,12057.0790574753,1315.84998603462,4677.1170341415,40789.8526630132,33209.2169897627,-637.690543292938,30766.3341242759,3080.57340877971,30128.643580983,95611.8088744806,26292.1657180134,-7379.96202333375,30766.3341242759,2905.79361707121,23386.3721009421,90185.1131171529,12545.2086278821,-637.69054329294,11209.0278338671,1973.87133730787,10571.3372905742,61115.1310549685,5628.15735613275,-7379.96202333375,11209.0278338671,1799.09154559937,3829.06581053337,55688.4352976408,0.003,0,0,0,1,1,0.88,0.863,0.934,0.881,0.761,0.319,1,1,1,1,0,1,0,1
