"Table 3.  Energy Prices by Sector and Source"
"https://www.eia.gov/outlooks/aeo/data/browser/#/?id=3-AEO2022&region=1-3&cases=ref2022~highmacro~lowmacro~highprice~lowprice~highogs~lowogs~hirencst~lorencst~ng_iif_final&start=2020&end=2050&f=A&linechart=ref2022-d011222a.3-3-AEO2022.1-3~highmacro-d011622a.3-3-AEO2022.1-3~lowmacro-d011222a.3-3-AEO2022.1-3~highprice-d011222a.3-3-AEO2022.1-3~lowprice-d011222a.3-3-AEO2022.1-3~highogs-d011222a.3-3-AEO2022.1-3~lowogs-d011222a.3-3-AEO2022.1-3~hirencst-d011322a.3-3-AEO2022.1-3~lorencst-d011222a.3-3-AEO2022.1-3~ng_iif_final-d011322a.3-3-AEO2022.1-3~ref2022-d011222a.4-3-AEO2022.1-3~highmacro-d011622a.4-3-AEO2022.1-3~lowmacro-d011222a.4-3-AEO2022.1-3~highprice-d011222a.4-3-AEO2022.1-3~lowprice-d011222a.4-3-AEO2022.1-3~highogs-d011222a.4-3-AEO2022.1-3~lowogs-d011222a.4-3-AEO2022.1-3~hirencst-d011322a.4-3-AEO2022.1-3~lorencst-d011222a.4-3-AEO2022.1-3~ng_iif_final-d011322a.4-3-AEO2022.1-3~ref2022-d011222a.5-3-AEO2022.1-3~highmacro-d011622a.5-3-AEO2022.1-3~lowmacro-d011222a.5-3-AEO2022.1-3~highprice-d011222a.5-3-AEO2022.1-3~lowprice-d011222a.5-3-AEO2022.1-3~highogs-d011222a.5-3-AEO2022.1-3~lowogs-d011222a.5-3-AEO2022.1-3~hirencst-d011322a.5-3-AEO2022.1-3~lorencst-d011222a.5-3-AEO2022.1-3~ng_iif_final-d011322a.5-3-AEO2022.1-3~ref2022-d011222a.6-3-AEO2022.1-3~highmacro-d011622a.6-3-AEO2022.1-3~lowmacro-d011222a.6-3-AEO2022.1-3~highprice-d011222a.6-3-AEO2022.1-3~lowprice-d011222a.6-3-AEO2022.1-3~highogs-d011222a.6-3-AEO2022.1-3~lowogs-d011222a.6-3-AEO2022.1-3~hirencst-d011322a.6-3-AEO2022.1-3~lorencst-d011222a.6-3-AEO2022.1-3~ng_iif_final-d011322a.6-3-AEO2022.1-3&map=highmacro-d011622a.3-3-AEO2022.1-3&sourcekey=0"
"Tue Apr 26 2022 15:21:48 GMT-0500 (Central Daylight Time)"
"Source: U.S. Energy Information Administration"
"",full name,api key,"units","2020","2021","2022","2023","2024","2025","2026","2027","2028","2029","2030","2031","2032","2033","2034","2035","2036","2037","2038","2039","2040","2041","2042","2043","2044","2045","2046","2047","2048","2049","2050","Growth (2021-2050)"
Low renewables cost,"Energy Prices: Residential: Propane": Low renewables cost,3-AEO2022.3.lorencst-d011222a,"2021 $/MMBtu",,19.182211,20.727123,20.548464,20.579784,20.535982,20.605854,20.846386,21.318489,21.781454,22.217024,22.59347,22.922272,23.258722,23.552589,23.777365,23.966654,24.18284,24.398052,24.554409,24.81929,25.089003,25.25264,25.39908,25.533684,25.59803,25.668139,25.733742,25.781391,25.762459,25.741806,"1.0%"
No Interstate Pipeline Builds,"Energy Prices: Residential: Propane": No Interstate Pipeline Builds,3-AEO2022.3.ng_iif_final-d011322a,"2021 $/MMBtu",,19.182211,20.741291,20.542377,20.555328,20.491671,20.577053,20.873886,21.336817,21.827272,22.308531,22.762905,23.217211,23.580158,23.865667,24.096754,24.30756,24.538864,24.783234,24.919109,25.163588,25.426689,25.639557,25.85763,26.108988,26.31752,26.549725,26.728998,26.835072,26.908909,26.956583,"1.2%"
Distillate Fuel Oil,"Energy Prices: Residential: Distillate Fuel Oil",3-AEO2022.4.,"2021 $/MMBtu",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AEO2022 Reference case,"Energy Prices: Residential: Distillate Fuel Oil": AEO2022 Reference case,3-AEO2022.4.ref2022-d011222a,"2021 $/MMBtu",,17.199303,16.888845,15.599642,16.388891,16.140856,16.007343,15.977002,16.206907,16.33762,16.332701,16.634474,16.791132,16.891237,16.976082,17.07999,17.249243,17.472332,17.608097,17.676598,17.914528,18.018236,18.034441,18.266401,18.534138,18.633249,18.856535,18.876396,18.797924,18.793287,18.724285,"0.3%"
High economic growth,"Energy Prices: Residential: Distillate Fuel Oil": High economic growth,3-AEO2022.4.highmacro-d011622a,"2021 $/MMBtu",,17.15863,16.848906,15.372989,16.322685,16.159391,16.093527,16.232685,16.351091,16.469942,16.703302,16.918169,17.216309,17.281729,17.409504,17.605364,17.67185,18.004284,18.156693,18.281258,18.35869,18.674688,18.851728,19.165672,19.222132,19.311588,19.498083,19.512259,19.526972,19.699747,19.743073,"0.5%"
Low economic growth,"Energy Prices: Residential: Distillate Fuel Oil": Low economic growth,3-AEO2022.4.lowmacro-d011222a,"2021 $/MMBtu",,17.226851,16.915895,15.352766,16.061958,15.883124,15.721136,15.687805,15.824308,15.928766,15.947251,16.139078,16.32338,16.399441,16.403309,16.402279,16.420475,16.582294,16.694979,16.696533,16.980047,17.152046,17.229397,17.478001,17.723488,17.766884,17.962126,17.93593,17.854883,17.926687,17.760172,"0.1%"
High oil price,"Energy Prices: Residential: Distillate Fuel Oil": High oil price,3-AEO2022.4.highprice-d011222a,"2021 $/MMBtu",,17.199303,25.403839,26.786674,27.683777,27.847523,28.193539,28.258574,28.578957,28.847057,28.794199,28.422798,28.531471,28.622601,28.974831,29.311241,29.861814,30.310171,30.199543,30.525635,30.671,30.670237,30.976299,31.184118,31.308538,31.67112,31.853834,32.204071,32.54501,32.832573,33.203201,"2.3%"
Low oil price,"Energy Prices: Residential: Distillate Fuel Oil": Low oil price,3-AEO2022.4.lowprice-d011222a,"2021 $/MMBtu",,17.199303,10.670497,10.381672,10.366941,10.22858,9.933024,9.465058,9.70107,9.737821,9.839454,9.886937,9.973192,10.111158,10.104548,10.36314,10.432118,10.469931,10.406351,10.424654,10.353287,10.304932,10.268358,10.226354,10.313802,10.307407,10.323531,10.30654,10.333925,10.283469,10.433168,"-1.7%"
High oil and gas supply,"Energy Prices: Residential: Distillate Fuel Oil": High oil and gas supply,3-AEO2022.4.highogs-d011222a,"2021 $/MMBtu",,17.199303,16.888845,15.187267,15.471465,15.201159,15.034397,15.044518,15.220972,15.293749,15.275067,15.328903,15.422051,15.41982,15.291438,15.283491,15.25391,15.255816,15.38962,15.374128,15.708179,15.84654,15.850264,16.105934,16.22636,16.277233,16.511703,16.382601,16.435596,16.649418,16.729704,"-0.1%"
Low oil and gas supply,"Energy Prices: Residential: Distillate Fuel Oil": Low oil and gas supply,3-AEO2022.4.lowogs-d011222a,"2021 $/MMBtu",,17.199303,16.888845,15.564903,16.72319,16.813507,16.820606,16.931425,17.4426,18.388762,18.683432,19.066257,19.408895,19.685329,19.865141,19.94293,20.120911,20.384212,20.462177,20.569597,20.26284,20.242273,20.320105,20.596235,20.78163,21.132114,21.23649,21.293388,21.112972,21.139837,21.191496,"0.7%"
High renewables cost,"Energy Prices: Residential: Distillate Fuel Oil": High renewables cost,3-AEO2022.4.hirencst-d011322a,"2021 $/MMBtu",,17.199303,16.888845,15.451458,16.269638,16.064804,15.889264,15.895231,16.066019,16.170414,16.206791,16.474428,16.713982,16.729647,16.855112,16.977139,17.163006,17.345131,17.48735,17.534307,17.699995,17.822071,17.874891,18.080637,18.286964,18.401985,18.609385,18.629124,18.54007,18.501945,18.473898,"0.2%"
Low renewables cost,"Energy Prices: Residential: Distillate Fuel Oil": Low renewables cost,3-AEO2022.4.lorencst-d011222a,"2021 $/MMBtu",,17.199303,16.888845,15.601386,16.37043,16.157009,16.011839,15.976546,16.214449,16.322002,16.363314,16.665123,16.775774,16.875582,16.980518,17.082872,17.266502,17.497732,17.608982,17.664589,17.92042,18.067991,18.10247,18.269238,18.532356,18.646439,18.858238,18.864586,18.7981,18.780285,18.719612,"0.3%"
No Interstate Pipeline Builds,"Energy Prices: Residential: Distillate Fuel Oil": No Interstate Pipeline Builds,3-AEO2022.4.ng_iif_final-d011322a,"2021 $/MMBtu",,17.199303,16.888845,15.613338,16.380281,16.155909,16.014574,15.987108,16.216316,16.322834,16.351295,16.651632,16.815748,16.904436,17.015459,17.081873,17.241392,17.474974,17.615416,17.671236,17.878094,18.06048,18.056852,18.243248,18.511366,18.604191,18.817177,18.85095,18.775082,18.756117,18.684877,"0.3%"
Natural Gas,"Energy Prices: Residential: Natural Gas",3-AEO2022.5.,"2021 $/MMBtu",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AEO2022 Reference case,"Energy Prices: Residential: Natural Gas": AEO2022 Reference case,3-AEO2022.5.ref2022-d011222a,"2021 $/MMBtu",,9.788699,10.262514,8.98936,8.643276,8.465326,8.444197,8.519577,8.676479,8.895694,8.978144,9.087684,9.127824,9.240103,9.250029,9.21245,9.224399,9.264728,9.290981,9.319094,9.341459,9.372119,9.378363,9.392631,9.36685,9.370248,9.380508,9.389127,9.39822,9.420357,9.440792,"-0.1%"
High economic growth,"Energy Prices: Residential: Natural Gas": High economic growth,3-AEO2022.5.highmacro-d011622a,"2021 $/MMBtu",,9.765551,10.248188,8.988922,8.659486,8.514177,8.484672,8.550049,8.694446,8.862784,8.939653,9.02492,9.131423,9.235578,9.278199,9.253954,9.249336,9.279204,9.304412,9.320813,9.333935,9.362947,9.386522,9.418869,9.432824,9.467716,9.489949,9.493059,9.47827,9.523121,9.567287,"-0.1%"
Low economic growth,"Energy Prices: Residential: Natural Gas": Low economic growth,3-AEO2022.5.lowmacro-d011222a,"2021 $/MMBtu",,9.804378,10.311555,9.019135,8.663517,8.447534,8.396932,8.429482,8.612314,8.806726,8.942653,9.055266,9.082304,9.213129,9.261252,9.214701,9.177387,9.212339,9.241967,9.27903,9.309524,9.382448,9.404065,9.381289,9.353383,9.324068,9.320442,9.324971,9.334449,9.373255,9.40598,"-0.1%"
High oil price,"Energy Prices: Residential: Natural Gas": High oil price,3-AEO2022.5.highprice-d011222a,"2021 $/MMBtu",,9.788699,10.3125,8.798724,8.428553,8.303821,8.253949,8.330755,8.477854,8.703083,8.84231,8.970546,9.072688,9.159754,9.181032,9.163576,9.14733,9.185591,9.241676,9.291796,9.36475,9.438182,9.437462,9.437949,9.429572,9.444732,9.463117,9.484441,9.485603,9.546941,9.593381,"-0.1%"
Low oil price,"Energy Prices: Residential: Natural Gas": Low oil price,3-AEO2022.5.lowprice-d011222a,"2021 $/MMBtu",,9.788699,10.228794,9.116505,9.065219,8.872255,8.749536,8.774626,8.897554,9.011846,9.043442,9.132243,9.190991,9.290068,9.385386,9.430778,9.426342,9.432006,9.421335,9.388861,9.365462,9.384399,9.385521,9.406654,9.444071,9.485249,9.47467,9.485719,9.489392,9.517323,9.555618,"-0.1%"
High oil and gas supply,"Energy Prices: Residential: Natural Gas": High oil and gas supply,3-AEO2022.5.highogs-d011222a,"2021 $/MMBtu",,9.788699,10.018169,8.588581,8.157432,7.924839,7.85916,7.887145,8.028516,8.162029,8.254804,8.320578,8.349319,8.440229,8.46732,8.469001,8.46538,8.485636,8.476008,8.486506,8.47319,8.474205,8.446239,8.439387,8.436587,8.461082,8.479534,8.483152,8.482669,8.516788,8.546372,"-0.5%"
Low oil and gas supply,"Energy Prices: Residential: Natural Gas": Low oil and gas supply,3-AEO2022.5.lowogs-d011222a,"2021 $/MMBtu",,9.788699,10.97621,9.837063,9.814022,9.68033,9.783117,9.893027,10.187806,10.611592,10.815236,11.10822,11.343896,11.589276,11.750318,11.823699,11.97273,12.094795,12.191393,12.310328,12.427137,12.48018,12.466948,12.453641,12.566801,12.654189,12.745424,12.805477,12.850735,12.951702,13.044978,"1.0%"
High renewables cost,"Energy Prices: Residential: Natural Gas": High renewables cost,3-AEO2022.5.hirencst-d011322a,"2021 $/MMBtu",,9.788699,10.265606,8.990035,8.65846,8.48578,8.472855,8.566888,8.741086,8.936599,9.086459,9.167384,9.246666,9.344899,9.342966,9.322582,9.306473,9.320636,9.330125,9.348819,9.375761,9.376941,9.445425,9.424254,9.453429,9.440494,9.456314,9.482401,9.48625,9.534604,9.546627,"-0.1%"
Low renewables cost,"Energy Prices: Residential: Natural Gas": Low renewables cost,3-AEO2022.5.lorencst-d011222a,"2021 $/MMBtu",,9.788699,10.41907,9.098429,8.721004,8.525385,8.482673,8.507482,8.691192,8.865874,8.937219,8.968,9.002693,9.104019,9.172293,9.184842,9.159903,9.170369,9.191565,9.221207,9.228149,9.277927,9.292011,9.288369,9.306622,9.335028,9.349676,9.31324,9.310296,9.317448,9.339291,"-0.2%"
No Interstate Pipeline Builds,"Energy Prices: Residential: Natural Gas": No Interstate Pipeline Builds,3-AEO2022.5.ng_iif_final-d011322a,"2021 $/MMBtu",,9.788699,10.388102,9.06551,8.696977,8.525773,8.459252,8.571451,8.729707,8.918308,9.097618,9.212817,9.293539,9.380162,9.447959,9.505071,9.540759,9.560894,9.636186,9.704275,9.768496,9.832989,9.87866,9.918794,9.938478,9.989244,10.019046,10.05973,10.086659,10.140627,10.202685,"0.1%"
Electricity,"Energy Prices: Residential: Electricity",3-AEO2022.6.,"2021 $/MMBtu",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AEO2022 Reference case,"Energy Prices: Residential: Electricity": AEO2022 Reference case,3-AEO2022.6.ref2022-d011222a,"2021 $/MMBtu",,39.783447,39.13081,38.557384,37.593887,37.38739,37.124191,36.993977,36.924202,36.763218,37.22118,37.232193,37.295437,37.224922,37.015045,36.838432,36.66283,36.501873,36.393494,36.304367,36.299179,36.275818,36.220818,36.091713,35.931515,35.836098,35.763466,35.668747,35.592693,35.432972,35.251156,"-0.4%"
High economic growth,"Energy Prices: Residential: Electricity": High economic growth,3-AEO2022.6.highmacro-d011622a,"2021 $/MMBtu",,39.718491,38.78614,38.590874,37.804382,37.57885,37.267841,37.150677,37.070438,37.161129,37.293964,37.425724,37.873856,37.918964,37.765892,37.635468,37.505692,37.455719,37.353207,37.239784,37.258713,37.329571,37.377022,37.350685,37.310673,37.27026,37.268261,37.230457,37.131458,36.987457,36.821953,"-0.3%"
Low economic growth,"Energy Prices: Residential: Electricity": Low economic growth,3-AEO2022.6.lowmacro-d011222a,"2021 $/MMBtu",,39.862122,38.838074,38.213215,37.38998,37.228191,37.173206,36.847607,36.575214,36.638958,36.653229,36.611443,36.649109,36.463959,36.439869,36.078369,35.755005,35.534027,35.361191,35.213943,35.223545,35.208332,35.108921,34.892838,34.713703,34.663944,34.530113,34.369431,34.189873,34.072563,33.884705,"-0.6%"
High oil price,"Energy Prices: Residential: Electricity": High oil price,3-AEO2022.6.highprice-d011222a,"2021 $/MMBtu",,39.843826,38.716064,38.198021,37.402557,36.917446,36.75692,36.542103,36.191486,36.183636,36.136692,36.084057,36.047619,35.836781,35.479366,35.172314,34.773052,34.533096,34.373779,34.295094,34.296528,34.367222,34.342869,34.21228,34.230755,34.250004,34.271439,34.289211,34.285576,34.290863,34.276684,"-0.5%"
Low oil price,"Energy Prices: Residential: Electricity": Low oil price,3-AEO2022.6.lowprice-d011222a,"2021 $/MMBtu",,39.833782,38.84005,38.424057,37.794483,37.824184,37.441319,37.206226,37.147583,37.193127,37.210884,37.266167,37.367012,37.263329,37.125443,36.995609,37.122234,36.981129,36.837238,36.691616,36.60548,36.555618,36.472767,36.331409,36.262413,36.256294,36.132713,36.027145,35.921143,35.765289,35.563255,"-0.4%"
High oil and gas supply,"Energy Prices: Residential: Electricity": High oil and gas supply,3-AEO2022.6.highogs-d011222a,"2021 $/MMBtu",,39.799709,38.773273,38.154305,37.001217,36.677261,36.619129,36.322296,35.932789,35.894859,35.812325,35.753143,35.68121,35.606083,35.436237,35.21949,35.031757,34.908649,34.790817,34.694519,34.66777,34.63311,34.516731,34.363503,34.229301,34.172184,34.158367,34.08773,33.981186,33.816025,33.760509,"-0.6%"
Low oil and gas supply,"Energy Prices: Residential: Electricity": Low oil and gas supply,3-AEO2022.6.lowogs-d011222a,"2021 $/MMBtu",,39.846455,38.914333,38.699074,38.761822,38.459778,38.389641,38.584045,38.882824,39.226357,39.602837,39.597561,39.87466,40.362034,40.412067,40.286934,40.432167,40.167347,40.323082,40.331375,40.422764,40.419895,40.297295,40.050537,39.944664,39.921638,39.82436,39.720444,39.587715,39.426052,39.266567,"-0.1%"
High renewables cost,"Energy Prices: Residential: Electricity": High renewables cost,3-AEO2022.6.hirencst-d011322a,"2021 $/MMBtu",,39.804947,38.81356,38.391945,37.570469,37.381653,37.184818,37.10387,37.057816,37.1675,37.219551,37.244221,37.317692,37.317699,37.223072,37.280849,37.120224,37.013783,36.949638,36.891197,36.882366,36.855549,36.788445,36.691879,36.587067,36.563049,36.502617,36.453308,36.429714,36.288315,36.090309,"-0.3%"
Low renewables cost,"Energy Prices: Residential: Electricity": Low renewables cost,3-AEO2022.6.lorencst-d011222a,"2021 $/MMBtu",,39.812252,38.83181,38.376331,37.552837,37.302979,37.021461,36.801861,36.711529,36.81171,37.114281,37.07093,37.053768,36.891869,36.470177,36.315666,36.108547,35.920765,35.842609,35.730679,35.670223,35.560184,35.404491,35.361767,34.962322,34.853664,34.726288,34.727119,34.59026,34.313713,33.909195,"-0.6%"
No Interstate Pipeline Builds,"Energy Prices: Residential: Electricity": No Interstate Pipeline Builds,3-AEO2022.6.ng_iif_final-d011322a,"2021 $/MMBtu",,39.791718,39.139225,38.549545,37.69437,37.253288,37.217091,37.124554,36.916042,37.215313,37.364014,37.362537,37.543446,37.539848,37.27005,37.289238,37.181072,37.065926,36.978706,36.874195,36.913311,36.941353,36.991188,36.920525,36.826099,36.834064,36.853264,36.773991,36.664482,36.489822,36.314129,"-0.3%"
Commercial,,3-AEO2022.8.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Propane,"Energy Prices: Commercial: Propane",3-AEO2022.9.,"2021 $/MMBtu",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AEO2022 Reference case,"Energy Prices: Commercial: Propane": AEO2022 Reference case,3-AEO2022.9.ref2022-d011222a,"2021 $/MMBtu",,17.271839,18.210609,16.772604,16.695393,16.571068,16.683607,17.038813,17.538366,17.880615,18.231989,18.546463,18.804644,19.050709,19.203365,19.306257,19.441463,19.614643,19.775694,19.859177,20.110529,20.269236,20.291691,20.447073,20.639023,20.676409,20.770178,20.835552,20.869894,20.853174,20.831161,"0.6%"
High economic growth,"Energy Prices: Commercial: Propane": High economic growth,3-AEO2022.9.highmacro-d011622a,"2021 $/MMBtu",,17.230995,18.251648,16.797007,16.793211,16.794994,16.93582,17.324038,17.765337,18.169214,18.590857,18.923836,19.348785,19.56645,19.723066,19.833965,19.941687,20.117844,20.20793,20.335634,20.536154,20.780422,20.996265,21.243332,21.381811,21.454334,21.625046,21.64773,21.708464,21.85251,21.994183,"0.8%"
Low economic growth,"Energy Prices: Commercial: Propane": Low economic growth,3-AEO2022.9.lowmacro-d011222a,"2021 $/MMBtu",,17.299503,18.124075,16.646166,16.549818,16.44467,16.518015,16.788586,17.224955,17.643438,17.954002,18.258385,18.518925,18.80648,18.930098,18.947201,18.967497,19.123629,19.296318,19.384987,19.628096,19.83847,20.011904,20.292034,20.496546,20.474569,20.348936,20.232651,20.18837,20.203732,20.152674,"0.5%"
High oil price,"Energy Prices: Commercial: Propane": High oil price,3-AEO2022.9.highprice-d011222a,"2021 $/MMBtu",,17.271839,22.668182,23.782635,23.875349,23.933521,24.139954,24.607311,25.301291,25.983791,26.541859,26.975342,27.334547,27.555027,27.618172,27.812288,27.946064,28.162651,28.445427,28.712709,29.087095,29.2087,29.353186,29.454147,29.485954,29.660532,29.734016,29.944298,30.09482,30.315678,30.527693,"2.0%"
Low oil price,"Energy Prices: Commercial: Propane": Low oil price,3-AEO2022.9.lowprice-d011222a,"2021 $/MMBtu",,17.271839,12.408883,11.518149,11.600527,11.731953,11.82281,11.821486,12.1125,12.280396,12.442085,12.608609,12.783355,12.979748,13.128575,13.383082,13.548231,13.649598,13.665677,13.678043,13.615394,13.575659,13.563055,13.523196,13.610741,13.64384,13.651351,13.646238,13.661284,13.662971,13.756824,"-0.8%"
High oil and gas supply,"Energy Prices: Commercial: Propane": High oil and gas supply,3-AEO2022.9.highogs-d011222a,"2021 $/MMBtu",,17.271839,17.809477,15.946828,15.310976,14.952901,14.848975,14.900677,15.119888,15.392735,15.579627,15.712907,16.015278,16.312111,16.391783,16.388454,16.435341,16.566401,16.76012,16.821489,17.052393,17.129162,17.16436,17.209126,17.230509,17.251259,17.238073,17.173185,17.113836,17.19191,17.216757,"-0.0%"
Low oil and gas supply,"Energy Prices: Commercial: Propane": Low oil and gas supply,3-AEO2022.9.lowogs-d011222a,"2021 $/MMBtu",,17.271839,18.85516,17.916197,18.632774,19.160347,19.677744,20.209888,20.845625,21.955534,22.668453,23.310524,23.905611,24.39607,24.791925,24.985601,25.384151,25.607279,25.885506,26.158344,26.212526,26.215237,26.202452,26.354136,26.652174,26.963665,27.135099,27.253042,27.296244,27.432791,27.459564,"1.6%"
High renewables cost,"Energy Prices: Commercial: Propane": High renewables cost,3-AEO2022.9.hirencst-d011322a,"2021 $/MMBtu",,17.271839,18.232286,16.768545,16.745998,16.698687,16.834042,17.198467,17.681875,18.104389,18.425467,18.728827,19.10063,19.352655,19.537853,19.630865,19.775291,19.905338,20.036472,20.127195,20.375084,20.475971,20.517025,20.679958,20.881493,20.983496,21.140297,21.229633,21.240124,21.237213,21.241917,"0.7%"
