OBJECTID,FID_JB0086A1A31DA42D7B56B97D9B2,FID_JEFCBEFE5C6A647709062AA2A2B,FID_J2228895286724B00AEE6D344B7,FID_J3563A33A1E624D4E8E67AE8A5E,FID_J222D1330BBCF4662AB151AF296,Zone,Count_,Area in Square Miles,FID_JC691A5DE512F41389BD7E7BF18,price region,Count_,Area in Square Miles,FID_WI_MUNI_UTILITY_BOUNDARIES_,CODE,COLOR,UTIL_LAB,Util_Type,PSC_ID,AREA,PERIMETER,ADDRESS_1,ADDRESS_2,CITY,STATE,ZIP,PHONE,WEB,DATA_DATE,GIS_DATA,Shape_Leng,LABEL,FID_WI_IOU_UTILITY_BOUNDARIES_W,CITY,CODE,UTIL_LAB,PSC_ID,AREA,PERIMETER,DATA_DATE,GIS_DATA,ADDRESS_1,ADDRESS_2,STATE,ZIP,PHONE,WEB,Shape_Leng,UTIL_TYPE,LABEL,FID_COOP_UTILITY_BOUNDARIES_COO,CODE,COLOR,UTIL_LAB,Util_Type,PSC_ID,AREA,PERIMETER,ADDRESS_1,ADDRESS_2,CITY,STATE,ZIP,PHONE,WEB,DATA_DATE,GIS_DATA,Shape_Leng,LABEL,FID_WI_NATURAL_GAS_UTILITY_BOUN,Util_Name,Util_ID,Sq_Mi,Shape_Leng,Shape_Le_1,Shape_Le_2,ADDRESS_1,ADDRESS_2,CITY,STATE,ZIP,PHONE,WEB
11,11,11,12,12,5,5,4,30.45104321,4,3,160,17187.72266,-1,,0,,,0,0,,,,,,,,,12/30/1899 12:00:00 AM,,0,,-1,,,,0,0,,12/30/1899 12:00:00 AM,,,,,,,,0,,,-1,,0,,,0,0,,,,,,,,,12/30/1899 12:00:00 AM,,0,,-1,,,0,0,0,0,,,,,,,
12,12,12,14,14,6,6,9,67.03740482,2,1,416,21803.48907,-1,,0,,,0,0,,,,,,,,,12/30/1899 12:00:00 AM,,0,,-1,,,,0,0,,12/30/1899 12:00:00 AM,,,,,,,,0,,,-1,,0,,,0,0,,,,,,,,,12/30/1899 12:00:00 AM,,0,,-1,,,0,0,0,0,,,,,,,
13,13,13,15,15,6,6,9,127.0298926,3,2,176,17110.03886,-1,,0,,,0,0,,,,,,,,,12/30/1899 12:00:00 AM,,0,,-1,,,,0,0,,12/30/1899 12:00:00 AM,,,,,,,,0,,,-1,,0,,,0,0,,,,,,,,,12/30/1899 12:00:00 AM,,0,,-1,,,0,0,0,0,,,,,,,
14,14,14,16,16,7,7,10,0.06606642,2,1,416,21803.48907,-1,,0,,,0,0,,,,,,,,,12/30/1899 12:00:00 AM,,0,,-1,,,,0,0,,12/30/1899 12:00:00 AM,,,,,,,,0,,,-1,,0,,,0,0,,,,,,,,,12/30/1899 12:00:00 AM,,0,,-1,,,0,0,0,0,,,,,,,
15,15,15,17,17,7,7,10,13.37802105,3,2,176,17110.03886,-1,,0,,,0,0,,,,,,,,,12/30/1899 12:00:00 AM,,0,,-1,,,,0,0,,12/30/1899 12:00:00 AM,,,,,,,,0,,,-1,,0,,,0,0,,,,,,,,,12/30/1899 12:00:00 AM,,0,,-1,,,0,0,0,0,,,,,,,
16,16,16,18,18,7,7,10,126.870492,4,3,160,17187.72266,-1,,0,,,0,0,,,,,,,,,12/30/1899 12:00:00 AM,,0,,-1,,,,0,0,,12/30/1899 12:00:00 AM,,,,,,,,0,,,-1,,0,,,0,0,,,,,,,,,12/30/1899 12:00:00 AM,,0,,-1,,,0,0,0,0,,,,,,,
17,17,17,19,19,8,8,8,3.58379873,2,1,416,21803.48907,-1,,0,,,0,0,,,,,,,,,12/30/1899 12:00:00 AM,,0,,-1,,,,0,0,,12/30/1899 12:00:00 AM,,,,,,,,0,,,-1,,0,,,0,0,,,,,,,,,12/30/1899 12:00:00 AM,,0,,-1,,,0,0,0,0,,,,,,,
18,18,18,20,20,8,8,8,49.842952,3,2,176,17110.03886,-1,,0,,,0,0,,,,,,,,,12/30/1899 12:00:00 AM,,0,,-1,,,,0,0,,12/30/1899 12:00:00 AM,,,,,,,,0,,,-1,,0,,,0,0,,,,,,,,,12/30/1899 12:00:00 AM,,0,,-1,,,0,0,0,0,,,,,,,
19,19,19,21,21,8,8,8,51.28887068,4,3,160,17187.72266,-1,,0,,,0,0,,,,,,,,,12/30/1899 12:00:00 AM,,0,,-1,,,,0,0,,12/30/1899 12:00:00 AM,,,,,,,,0,,,-1,,0,,,0,0,,,,,,,,,12/30/1899 12:00:00 AM,,0,,-1,,,0,0,0,0,,,,,,,
20,20,20,23,23,9,9,7,8.00298695,2,1,416,21803.48907,-1,,0,,,0,0,,,,,,,,,12/30/1899 12:00:00 AM,,0,,-1,,,,0,0,,12/30/1899 12:00:00 AM,,,,,,,,0,,,-1,,0,,,0,0,,,,,,,,,12/30/1899 12:00:00 AM,,0,,-1,,,0,0,0,0,,,,,,,
21,21,21,24,24,9,9,7,10.14074152,4,3,160,17187.72266,-1,,0,,,0,0,,,,,,,,,12/30/1899 12:00:00 AM,,0,,-1,,,,0,0,,12/30/1899 12:00:00 AM,,,,,,,,0,,,-1,,0,,,0,0,,,,,,,,,12/30/1899 12:00:00 AM,,0,,-1,,,0,0,0,0,,,,,,,
22,22,22,25,25,10,10,6,11.65258028,2,1,416,21803.48907,-1,,0,,,0,0,,,,,,,,,12/30/1899 12:00:00 AM,,0,,-1,,,,0,0,,12/30/1899 12:00:00 AM,,,,,,,,0,,,-1,,0,,,0,0,,,,,,,,,12/30/1899 12:00:00 AM,,0,,-1,,,0,0,0,0,,,,,,,
23,23,23,27,27,11,11,7,0.104228,2,1,416,21803.48907,-1,,0,,,0,0,,,,,,,,,12/30/1899 12:00:00 AM,,0,,-1,,,,0,0,,12/30/1899 12:00:00 AM,,,,,,,,0,,,-1,,0,,,0,0,,,,,,,,,12/30/1899 12:00:00 AM,,0,,-1,,,0,0,0,0,,,,,,,
24,24,24,28,-1,0,0,0,0.04116337,0,0,0,0,1,M-27,31,FLORENCE UTILITY COMMISSION,Municipal,2000,89.81431632,54.96355367,PO Box 109,501 Spring Avenue,Florence,WI,54121-0109,715-528-3330,https://www.florenceutilitieswi.com/,2/5/19 0:00, ,88455.44222,Florence Utility Commission,-1,,,,0,0,,12/30/1899 12:00:00 AM,,,,,,,,0,,,-1,,0,,,0,0,,,,,,,,,12/30/1899 12:00:00 AM,,0,,-1,,,0,0,0,0,,,,,,,
25,25,25,29,-1,0,0,0,1.13713377,0,0,0,0,11,M-70,31,STURGEON BAY UTILITIES,Municipal,5780,78.73540588,62.94080163,PO Box 27,230 E Vine Street,Sturgeon Bay,WI,54235-0027,920-746-2820,https://www.sbunet.com/,11/9/12 0:00, ,93400.72235,Sturgeon Bay Utilities,-1,,,,0,0,,12/30/1899 12:00:00 AM,,,,,,,,0,,,-1,,0,,,0,0,,,,,,,,,12/30/1899 12:00:00 AM,,0,,-1,,,0,0,0,0,,,,,,,
26,26,26,30,-1,0,0,0,0.0010464,0,0,0,0,16,M-01,9,ALGOMA UTILITY COMMISSION,Municipal,50,3.27862627,10.10751929, ,1407 Flora Avenue,Algoma,WI,54201,920-487-5556,https://www.algomautilities.com/,11/7/12 0:00, ,16266.50806,Algoma Utility Commission,-1,,,,0,0,,12/30/1899 12:00:00 AM,,,,,,,,0,,,-1,,0,,,0,0,,,,,,,,,12/30/1899 12:00:00 AM,,0,,-1,,,0,0,0,0,,,,,,,
27,27,27,31,-1,0,0,0,0.30019644,0,0,0,0,21,M-73,31,TWO RIVERS WATER & LIGHT UTILITY,Municipal,5990,6.59169619,31.44701249, ,1415 Lake Street,Two Rivers,WI,54241,920-793-5550,https://trwaterandlight.com/,2/13/15 0:00, ,50609.16209,Two Rivers Water & Light Utility,-1,,,,0,0,,12/30/1899 12:00:00 AM,,,,,,,,0,,,-1,,0,,,0,0,,,,,,,,,12/30/1899 12:00:00 AM,,0,,-1,,,0,0,0,0,,,,,,,
28,28,28,32,-1,0,0,0,0.00443324,0,0,0,0,22,M-72,31,TREMPEALEAU MUNICIPAL ELECTRIC & WATER UTIL,Municipal,5940,9.41485683,17.36943673,PO Box 247,24455 3rd Street,Trempealeau,WI,54661-0247,608-534-6434,https://www.trempealeauwi.com/departments/utilities/,2/5/19 0:00, ,27953.45469,Trempealeau Municipal Electric & Water Util,-1,,,,0,0,,12/30/1899 12:00:00 AM,,,,,,,,0,,,-1,,0,,,0,0,,,,,,,,,12/30/1899 12:00:00 AM,,0,,-1,,,0,0,0,0,,,,,,,
29,29,29,33,-1,0,0,0,0.23063407,0,0,0,0,71,M-39,31,MANITOWOC PUBLIC UTILITIES,Municipal,3320,18.81942842,50.66606036,PO Box 1090,1303 S 8th Street,Manitowoc,WI,54221-1090,920-683-4600,https://www.mpu.org/,12/20/17 0:00,X,81539.28331,Manitowoc Public Utilities,-1,,,,0,0,,12/30/1899 12:00:00 AM,,,,,,,,0,,,-1,,0,,,0,0,,,,,,,,,12/30/1899 12:00:00 AM,,0,,-1,,,0,0,0,0,,,,,,,
30,30,30,34,3,2,2,5,0.07921093,3,2,176,17110.03886,77,M-22,9,EAGLE RIVER LIGHT & WATER COMMISSION,Municipal,1710,3.52774764,17.2557294,PO Box 1269,525 E Maple Street,Eagle River,WI,54521-1269,715-479-8121,https://eagleriver.govoffice2.com/?SEC=39170875-43DB-4CA7-B35B-E613F75401C2,2/5/19 0:00,X,27770.46012,Eagle River Light & Water Commission,-1,,,,0,0,,12/30/1899 12:00:00 AM,,,,,,,,0,,,-1,,0,,,0,0,,,,,,,,,12/30/1899 12:00:00 AM,,0,,-1,,,0,0,0,0,,,,,,,
31,31,31,35,6,3,3,7,0.01277761,2,1,416,21803.48907,1,M-27,31,FLORENCE UTILITY COMMISSION,Municipal,2000,89.81431632,54.96355367,PO Box 109,501 Spring Avenue,Florence,WI,54121-0109,715-528-3330,https://www.florenceutilitieswi.com/,2/5/19 0:00, ,88455.44222,Florence Utility Commission,-1,,,,0,0,,12/30/1899 12:00:00 AM,,,,,,,,0,,,-1,,0,,,0,0,,,,,,,,,12/30/1899 12:00:00 AM,,0,,-1,,,0,0,0,0,,,,,,,
32,32,32,36,6,3,3,7,33.65231746,2,1,416,21803.48907,9,M-28,31,GRESHAM MUNICIPAL LIGHT & POWER UTILITY,Municipal,2400,47.91055636,29.11922144,PO Box 50,1126 Main Street,Gresham,WI,54128-0050,715-787-3244,http://visit-gresham.com/?page_id=99,2/5/19 0:00, ,46862.93804,Gresham Municipal Light & Power Utility,-1,,,,0,0,,12/30/1899 12:00:00 AM,,,,,,,,0,,,-1,,0,,,0,0,,,,,,,,,12/30/1899 12:00:00 AM,,0,,-1,,,0,0,0,0,,,,,,,
33,33,33,37,6,3,3,7,0.05072297,2,1,416,21803.48907,10,M-53,9,OCONTO FALLS WATER & LIGHT COMMISSION,Municipal,4360,4.03049963,10.56389319,PO Box 70,223 Monroe Street,Oconto Falls,WI,54154-0070,920-846-4507,https://www.ofmu.org/,2/5/19 0:00, ,17000.97213,Oconto Falls Water & Light Commission,-1,,,,0,0,,12/30/1899 12:00:00 AM,,,,,,,,0,,,-1,,0,,,0,0,,,,,,,,,12/30/1899 12:00:00 AM,,0,,-1,,,0,0,0,0,,,,,,,
34,34,34,38,6,3,3,7,0.11649349,2,1,416,21803.48907,14,M-63,9,SHAWANO MUNICIPAL UTILITIES,Municipal,5350,21.38511387,32.34066353, ,122 N Sawyer Street,Shawano,WI,54166,715-526-3131,https://www.cityofshawano.com/242/Shawano-Municipal-Utilities-SMU,11/12/12 0:00, ,52047.35691,Shawano Municipal Utilities,-1,,,,0,0,,12/30/1899 12:00:00 AM,,,,,,,,0,,,-1,,0,,,0,0,,,,,,,,,12/30/1899 12:00:00 AM,,0,,-1,,,0,0,0,0,,,,,,,
35,35,35,39,7,3,3,7,5.14229964,3,2,176,17110.03886,9,M-28,31,GRESHAM MUNICIPAL LIGHT & POWER UTILITY,Municipal,2400,47.91055636,29.11922144,PO Box 50,1126 Main Street,Gresham,WI,54128-0050,715-787-3244,http://visit-gresham.com/?page_id=99,2/5/19 0:00, ,46862.93804,Gresham Municipal Light & Power Utility,-1,,,,0,0,,12/30/1899 12:00:00 AM,,,,,,,,0,,,-1,,0,,,0,0,,,,,,,,,12/30/1899 12:00:00 AM,,0,,-1,,,0,0,0,0,,,,,,,
36,41,44,48,11,5,5,4,0.00141024,3,2,176,17110.03886,12,M-69,31,STRATFORD MUNICIPAL WATER & ELECTRIC UTILITY,Municipal,5760,5.32547676,9.332416302,PO Box 12,212 S 3rd Avenue,Stratford,WI,54484-0012,715-687-4118,https://www.stratfordwi.com/?SEC=7EC5808B-1BA1-4049-8825-06B2EDF2E43F,11/27/12 0:00, ,16018.56189,Stratford Municipal Water & Electric Utility,-1,,,,0,0,,12/30/1899 12:00:00 AM,,,,,,,,0,,,-1,,0,,,0,0,,,,,,,,,12/30/1899 12:00:00 AM,,0,,-1,,,0,0,0,0,,,,,,,
37,42,45,49,11,5,5,4,0.47756595,3,2,176,17110.03886,13,M-40,31,MARSHFIELD ELECTRIC & WATER DEPT,Municipal,3420,119.2980639,60.88163013,PO Box 670,2000 S Central Avenue,Marshfield,WI,54449-0670,715-387-1195,https://www.marshfieldutilities.org/,11/7/12 0:00, ,97979.68213,Marshfield Electric & Water Dept,-1,,,,0,0,,12/30/1899 12:00:00 AM,,,,,,,,0,,,-1,,0,,,0,0,,,,,,,,,12/30/1899 12:00:00 AM,,0,,-1,,,0,0,0,0,,,,,,,
38,43,46,50,14,6,6,9,10.35637907,2,1,416,21803.48907,11,M-70,31,STURGEON BAY UTILITIES,Municipal,5780,78.73540588,62.94080163,PO Box 27,230 E Vine Street,Sturgeon Bay,WI,54235-0027,920-746-2820,https://www.sbunet.com/,11/9/12 0:00, ,93400.72235,Sturgeon Bay Utilities,-1,,,,0,0,,12/30/1899 12:00:00 AM,,,,,,,,0,,,-1,,0,,,0,0,,,,,,,,,12/30/1899 12:00:00 AM,,0,,-1,,,0,0,0,0,,,,,,,
39,44,47,51,14,6,6,9,0.00007604,2,1,416,21803.48907,16,M-01,9,ALGOMA UTILITY COMMISSION,Municipal,50,3.27862627,10.10751929, ,1407 Flora Avenue,Algoma,WI,54201,920-487-5556,https://www.algomautilities.com/,11/7/12 0:00, ,16266.50806,Algoma Utility Commission,-1,,,,0,0,,12/30/1899 12:00:00 AM,,,,,,,,0,,,-1,,0,,,0,0,,,,,,,,,12/30/1899 12:00:00 AM,,0,,-1,,,0,0,0,0,,,,,,,
40,45,48,52,14,6,6,9,0.10661173,2,1,416,21803.48907,21,M-73,31,TWO RIVERS WATER & LIGHT UTILITY,Municipal,5990,6.59169619,31.44701249, ,1415 Lake Street,Two Rivers,WI,54241,920-793-5550,https://trwaterandlight.com/,2/13/15 0:00, ,50609.16209,Two Rivers Water & Light Utility,-1,,,,0,0,,12/30/1899 12:00:00 AM,,,,,,,,0,,,-1,,0,,,0,0,,,,,,,,,12/30/1899 12:00:00 AM,,0,,-1,,,0,0,0,0,,,,,,,
41,50,53,57,14,6,6,9,1.41279894,2,1,416,21803.48907,70,M-34,31,KAUKAUNA ELECTRIC & WATER UTILITY,Municipal,2800,64.78056735,42.52085561,PO Box 1777,777 Island Street,Kaukauna,WI,54130-7077,920-766-5721,https://www.kaukaunautilities.com/,12/20/17 0:00,X,68430.82071,Kaukauna Electric & Water Utility,-1,,,,0,0,,12/30/1899 12:00:00 AM,,,,,,,,0,,,-1,,0,,,0,0,,,,,,,,,12/30/1899 12:00:00 AM,,0,,-1,,,0,0,0,0,,,,,,,
42,51,54,58,14,6,6,9,0.10429165,2,1,416,21803.48907,71,M-39,31,MANITOWOC PUBLIC UTILITIES,Municipal,3320,18.81942842,50.66606036,PO Box 1090,1303 S 8th Street,Manitowoc,WI,54221-1090,920-683-4600,https://www.mpu.org/,12/20/17 0:00,X,81539.28331,Manitowoc Public Utilities,-1,,,,0,0,,12/30/1899 12:00:00 AM,,,,,,,,0,,,-1,,0,,,0,0,,,,,,,,,12/30/1899 12:00:00 AM,,0,,-1,,,0,0,0,0,,,,,,,
43,54,57,62,15,6,6,9,0.22644391,3,2,176,17110.03886,74,M-43,9,MENASHA ELECTRIC & WATER UTILITIES,Municipal,3560,6.76232009,29.61321616,PO Box 340,321 Milwaukee Street,Menasha,WI,54952-0340,920-967-3400,https://www.menashautilities.com/,1/28/19 0:00,X,47657.94706,Menasha Electric & Water Utilities,-1,,,,0,0,,12/30/1899 12:00:00 AM,,,,,,,,0,,,-1,,0,,,0,0,,,,,,,,,12/30/1899 12:00:00 AM,,0,,-1,,,0,0,0,0,,,,,,,
44,57,60,66,18,7,7,10,0.14754244,4,3,160,17187.72266,20,M-09,31,BLACK RIVER FALLS MUNICIPAL ELECTRIC & WATER,Municipal,550,5.6392541,13.26241272, ,119 N Water Street,Black River Falls,WI,54615-1314,715-284-9463,https://www.brfmu.org/,11/13/12 0:00, ,21343.82703,Black River Falls Municipal Electric & Water,-1,,,,0,0,,12/30/1899 12:00:00 AM,,,,,,,,0,,,-1,,0,,,0,0,,,,,,,,,12/30/1899 12:00:00 AM,,0,,-1,,,0,0,0,0,,,,,,,
45,58,61,67,18,7,7,10,0.11348503,4,3,160,17187.72266,22,M-72,31,TREMPEALEAU MUNICIPAL ELECTRIC & WATER UTIL,Municipal,5940,9.41485683,17.36943673,PO Box 247,24455 3rd Street,Trempealeau,WI,54661-0247,608-534-6434,https://www.trempealeauwi.com/departments/utilities/,2/5/19 0:00, ,27953.45469,Trempealeau Municipal Electric & Water Util,-1,,,,0,0,,12/30/1899 12:00:00 AM,,,,,,,,0,,,-1,,0,,,0,0,,,,,,,,,12/30/1899 12:00:00 AM,,0,,-1,,,0,0,0,0,,,,,,,
46,59,62,68,18,7,7,10,14.84657189,4,3,160,17187.72266,23,M-04,31,BANGOR MUNICIPAL UTILITY,Municipal,350,145.6260005,66.24879876,PO Box 130,106 15th Avenue N,Bangor,WI,54614-0130,608-486-2151,https://villageofbangor.com/?SEC=364CB0BA-E07A-4678-8DB4-7131887962A9,12/5/12 0:00,X,106617.32,Bangor Municipal Utility,-1,,,,0,0,,12/30/1899 12:00:00 AM,,,,,,,,0,,,-1,,0,,,0,0,,,,,,,,,12/30/1899 12:00:00 AM,,0,,-1,,,0,0,0,0,,,,,,,
47,69,72,78,20,8,8,8,2.35532934,3,2,176,17110.03886,17,M-81,31,WISCONSIN RAPIDS WATERWORKS & LIGHT,Municipal,6700,67.10207168,55.54488582,PO Box 399,221 16th Street South,Wisconsin Rapids,WI,54494-0399,715-423-6300,https://www.wrwwlc.com/,1/26/15 0:00,X,89391.0075,Wisconsin Rapids Waterworks & Light,-1,,,,0,0,,12/30/1899 12:00:00 AM,,,,,,,,0,,,-1,,0,,,0,0,,,,,,,,,12/30/1899 12:00:00 AM,,0,,-1,,,0,0,0,0,,,,,,,
48,72,75,84,23,9,9,7,4.18104856,2,1,416,21803.48907,42,M-46,31,MUSCODA LIGHT & WATER UTILITY,Municipal,4000,12.62219091,20.91616633,PO Box 206,109 Second Street,Muscoda,WI,53573-0206,608-739-3390,https://muscoda.com/village-info/utility-information/,11/20/12 0:00, ,33661.37411,Muscoda Light & Water Utility,-1,,,,0,0,,12/30/1899 12:00:00 AM,,,,,,,,0,,,-1,,0,,,0,0,,,,,,,,,12/30/1899 12:00:00 AM,,0,,-1,,,0,0,0,0,,,,,,,
49,74,77,86,23,9,9,7,0.47814627,2,1,416,21803.48907,48,M-11,9,BOSCOBEL MUNICIPAL UTILITIES,Municipal,650,3.74578661,14.59307968, ,1006 Wisconsin Avenue,Boscobel,WI,53805,608-375-5030,https://www.boscobelutilities.com/,11/19/12 0:00, ,23485.3322,Boscobel Municipal Utilities,-1,,,,0,0,,12/30/1899 12:00:00 AM,,,,,,,,0,,,-1,,0,,,0,0,,,,,,,,,12/30/1899 12:00:00 AM,,0,,-1,,,0,0,0,0,,,,,,,
50,75,78,87,23,9,9,7,0.00075865,2,1,416,21803.48907,51,M-26,31,FENNIMORE WATER & LIGHT PLANT,Municipal,1980,1.84703133,10.01323707,PO Box 17,860 Lincoln Avenue,Fennimore,WI,53809-0017,608-822-6501,https://www.fennimore.com/public-works/electric/,2/17/15 0:00, ,16114.77524,Fennimore Water & Light Plant,-1,,,,0,0,,12/30/1899 12:00:00 AM,,,,,,,,0,,,-1,,0,,,0,0,,,,,,,,,12/30/1899 12:00:00 AM,,0,,-1,,,0,0,0,0,,,,,,,
51,82,85,95,23,9,9,7,0.02993742,2,1,416,21803.48907,66,M-62,0,SAUK CITY ELECTRIC UTILITY,Municipal,5260,2.52767611,9.788710967, ,726 Water Street,Sauk City,WI,53583-1597,608-643-8336,https://www.saukcity.net/index.asp?SEC=3783102F-4CEF-4B0A-ADD2-4DE7F4061D24&Type=B_BASIC,1/27/15 0:00, ,15753.43477,Sauk City Electric Utility,-1,,,,0,0,,12/30/1899 12:00:00 AM,,,,,,,,0,,,-1,,0,,,0,0,,,,,,,,,12/30/1899 12:00:00 AM,,0,,-1,,,0,0,0,0,,,,,,,
52,86,89,100,24,9,9,7,1.26930596,4,3,160,17187.72266,32,M-36,9,LA FARGE MUNICIPAL ELECTRIC UTILITY,Municipal,2950,6.86667083,25.31759255,PO Box 39, ,LaFarge,WI,54639-0039,608-625-2333,https://www.lafarge-wisconsin.com/,11/19/12 0:00, ,40744.79715,La Farge Municipal Electric Utility,-1,,,,0,0,,12/30/1899 12:00:00 AM,,,,,,,,0,,,-1,,0,,,0,0,,,,,,,,,12/30/1899 12:00:00 AM,,0,,-1,,,0,0,0,0,,,,,,,
53,87,90,101,24,9,9,7,0.01014962,4,3,160,17187.72266,65,M-74,9,VIOLA MUNICIPAL WATER & ELECTRIC UTILITY,Municipal,6130,1.05404835,4.993222304,PO Box 38,106 W Wisconsin Street,Viola,WI,54664-0038,608-627-1831,https://www.vi.viola.wi.gov/page/home,2/5/19 0:00, ,8035.828427,Viola Municipal Water & Electric Utility,-1,,,,0,0,,12/30/1899 12:00:00 AM,,,,,,,,0,,,-1,,0,,,0,0,,,,,,,,,12/30/1899 12:00:00 AM,,0,,-1,,,0,0,0,0,,,,,,,
54,89,92,104,25,10,10,6,1.512975,2,1,416,21803.48907,36,M-31,31,HUSTISFORD UTILITIES,Municipal,2650,27.12611315,23.21819654,PO Box 345,201 S Lake Street,Hustisford,WI,53034-0345,920-349-3650,https://www.hustisford.com/?SEC=959B8474-E6D5-4FB6-A5EB-4DE8A2AEDD0C,11/7/12 0:00, ,37366.14003,Hustisford Utilities,-1,,,,0,0,,12/30/1899 12:00:00 AM,,,,,,,,0,,,-1,,0,,,0,0,,,,,,,,,12/30/1899 12:00:00 AM,,0,,-1,,,0,0,0,0,,,,,,,
