Utility.ID,Utility.Name,Month,Rate
1144,Clark Electric Coop,2,0.1070 
1144,Clark Electric Coop,3,0.1070 
1144,Clark Electric Coop,4,0.1070 
1144,Clark Electric Coop,5,0.1070 
1144,Clark Electric Coop,6,0.1220 
1144,Clark Electric Coop,7,0.1220 
1144,Clark Electric Coop,8,0.1220 
1144,Clark Electric Coop,9,0.1070 
1144,Clark Electric Coop,10,0.1070 
1144,Clark Electric Coop,11,0.1070 
1144,Clark Electric Coop,12,0.1070 
1688,Dunn County Electric Coop,1,0.1404 
1688,Dunn County Electric Coop,2,0.1404 
1688,Dunn County Electric Coop,3,0.1404 
1688,Dunn County Electric Coop,4,0.1404 
1688,Dunn County Electric Coop,5,0.1404 
1688,Dunn County Electric Coop,6,0.1404 
1688,Dunn County Electric Coop,7,0.1404 
1688,Dunn County Electric Coop,8,0.1404 
1688,Dunn County Electric Coop,9,0.1404 
1688,Dunn County Electric Coop,10,0.1404 
1688,Dunn County Electric Coop,11,0.1404 
1688,Dunn County Electric Coop,12,0.1404 
2515,East Central Energy,1,0.1249 
2515,East Central Energy,2,0.1249 
2515,East Central Energy,3,0.1249 
2515,East Central Energy,4,0.1249 
2515,East Central Energy,5,0.1249 
2515,East Central Energy,6,0.1438 
2515,East Central Energy,7,0.1438 
2515,East Central Energy,8,0.1438 
2515,East Central Energy,9,0.1249 
2515,East Central Energy,10,0.1249 
2515,East Central Energy,11,0.1249 
2515,East Central Energy,12,0.1249 
1737,Eau Claire Electric Coop,1,0.1075 
1737,Eau Claire Electric Coop,2,0.1075 
1737,Eau Claire Electric Coop,3,0.1075 
1737,Eau Claire Electric Coop,4,0.1075 
1737,Eau Claire Electric Coop,5,0.1075 
1737,Eau Claire Electric Coop,6,0.1235 
1737,Eau Claire Electric Coop,7,0.1235 
1737,Eau Claire Electric Coop,8,0.1235 
1737,Eau Claire Electric Coop,9,0.1235 
1737,Eau Claire Electric Coop,10,0.1075 
1737,Eau Claire Electric Coop,11,0.1075 
1737,Eau Claire Electric Coop,12,0.1075 
2718,"Jackson Electric Coop, Inc",1,0.1130 
2718,"Jackson Electric Coop, Inc",2,0.1130 
2718,"Jackson Electric Coop, Inc",3,0.1130 
2718,"Jackson Electric Coop, Inc",4,0.1130 
2718,"Jackson Electric Coop, Inc",5,0.1130 
2718,"Jackson Electric Coop, Inc",6,0.1280 
2718,"Jackson Electric Coop, Inc",7,0.1280 
2718,"Jackson Electric Coop, Inc",8,0.1280 
2718,"Jackson Electric Coop, Inc",9,0.1130 
2718,"Jackson Electric Coop, Inc",10,0.1130 
2718,"Jackson Electric Coop, Inc",11,0.1130 
2718,"Jackson Electric Coop, Inc",12,0.1130 
2777,Jump River Electric Coop Inc,1,0.1045 
2777,Jump River Electric Coop Inc,2,0.1045 
2777,Jump River Electric Coop Inc,3,0.1045 
2777,Jump River Electric Coop Inc,4,0.1045 
2777,Jump River Electric Coop Inc,5,0.1045 
2777,Jump River Electric Coop Inc,6,0.1165 
2777,Jump River Electric Coop Inc,7,0.1165 
2777,Jump River Electric Coop Inc,8,0.1165 
2777,Jump River Electric Coop Inc,9,0.1045 
2777,Jump River Electric Coop Inc,10,0.1045 
2777,Jump River Electric Coop Inc,11,0.1045 
2777,Jump River Electric Coop Inc,12,0.1045 
4320,Oakdale Electric Coop,1,0.1040 
4320,Oakdale Electric Coop,2,0.1040 
4320,Oakdale Electric Coop,3,0.1040 
4320,Oakdale Electric Coop,4,0.1040 
4320,Oakdale Electric Coop,5,0.1040 
4320,Oakdale Electric Coop,6,0.1140 
4320,Oakdale Electric Coop,7,0.1140 
4320,Oakdale Electric Coop,8,0.1140 
4320,Oakdale Electric Coop,9,0.1140 
4320,Oakdale Electric Coop,10,0.1040 
4320,Oakdale Electric Coop,11,0.1040 
4320,Oakdale Electric Coop,12,0.1040 
4348,Oconto Electric Cooperative,1,0.1238 
4348,Oconto Electric Cooperative,2,0.1238 
4348,Oconto Electric Cooperative,3,0.1238 
4348,Oconto Electric Cooperative,4,0.1238 
4348,Oconto Electric Cooperative,5,0.1238 
4348,Oconto Electric Cooperative,6,0.1238 
4348,Oconto Electric Cooperative,7,0.1238 
4348,Oconto Electric Cooperative,8,0.1238 
4348,Oconto Electric Cooperative,9,0.1238 
4348,Oconto Electric Cooperative,10,0.1238 
4348,Oconto Electric Cooperative,11,0.1238 
4348,Oconto Electric Cooperative,12,0.1238 
4646,Pierce-Pepin Coop Services,1,0.1260 
4646,Pierce-Pepin Coop Services,2,0.1260 
4646,Pierce-Pepin Coop Services,3,0.1260 
4646,Pierce-Pepin Coop Services,4,0.1260 
4646,Pierce-Pepin Coop Services,5,0.1260 
4646,Pierce-Pepin Coop Services,6,0.1260 
4646,Pierce-Pepin Coop Services,7,0.1260 
4646,Pierce-Pepin Coop Services,8,0.1260 
4646,Pierce-Pepin Coop Services,9,0.1260 
4646,Pierce-Pepin Coop Services,10,0.1260 
4646,Pierce-Pepin Coop Services,11,0.1260 
4646,Pierce-Pepin Coop Services,12,0.1260 
4747,Polk-Burnett Electric Coop,1,0.1010 
4747,Polk-Burnett Electric Coop,2,0.1010 
4747,Polk-Burnett Electric Coop,3,0.1010 
4747,Polk-Burnett Electric Coop,4,0.1010 
4747,Polk-Burnett Electric Coop,5,0.1010 
4747,Polk-Burnett Electric Coop,6,0.1160 
4747,Polk-Burnett Electric Coop,7,0.1160 
4747,Polk-Burnett Electric Coop,8,0.1160 
4747,Polk-Burnett Electric Coop,9,0.1160 
4747,Polk-Burnett Electric Coop,10,0.1010 
4747,Polk-Burnett Electric Coop,11,0.1010 
4747,Polk-Burnett Electric Coop,12,0.1010 
4874,Price Electric Coop Inc,1,0.1365 
4874,Price Electric Coop Inc,2,0.1365 
4874,Price Electric Coop Inc,3,0.1365 
4874,Price Electric Coop Inc,4,0.1365 
4874,Price Electric Coop Inc,5,0.1365 
4874,Price Electric Coop Inc,6,0.1550 
4874,Price Electric Coop Inc,7,0.1550 
4874,Price Electric Coop Inc,8,0.1550 
4874,Price Electric Coop Inc,9,0.1365 
4874,Price Electric Coop Inc,10,0.1365 
4874,Price Electric Coop Inc,11,0.1365 
4874,Price Electric Coop Inc,12,0.1365 
5075,Richland Electric Coop,1,0.1796 
5075,Richland Electric Coop,2,0.1796 
5075,Richland Electric Coop,3,0.1796 
5075,Richland Electric Coop,4,0.1796 
5075,Richland Electric Coop,5,0.1796 
5075,Richland Electric Coop,6,0.1796 
5075,Richland Electric Coop,7,0.1796 
5075,Richland Electric Coop,8,0.1796 
5075,Richland Electric Coop,9,0.1796 
5075,Richland Electric Coop,10,0.1796 
5075,Richland Electric Coop,11,0.1796 
5075,Richland Electric Coop,12,0.1796 
5938,Riverland Energy Cooperative,1,0.1208 
5938,Riverland Energy Cooperative,2,0.1208 
5938,Riverland Energy Cooperative,3,0.1208 
5938,Riverland Energy Cooperative,4,0.1208 
5938,Riverland Energy Cooperative,5,0.1208 
5938,Riverland Energy Cooperative,6,0.1208 
5938,Riverland Energy Cooperative,7,0.1208 
5938,Riverland Energy Cooperative,8,0.1208 
5938,Riverland Energy Cooperative,9,0.1208 
5938,Riverland Energy Cooperative,10,0.1208 
5938,Riverland Energy Cooperative,11,0.1208 
5938,Riverland Energy Cooperative,12,0.1208 
5125,Rock Energy Cooperative,1,0.1303 
5125,Rock Energy Cooperative,2,0.1303 
5125,Rock Energy Cooperative,3,0.1303 
5125,Rock Energy Cooperative,4,0.1303 
5125,Rock Energy Cooperative,5,0.1303 
5125,Rock Energy Cooperative,6,0.1303 
5125,Rock Energy Cooperative,7,0.1303 
5125,Rock Energy Cooperative,8,0.1303 
5125,Rock Energy Cooperative,9,0.1303 
5125,Rock Energy Cooperative,10,0.1303 
5125,Rock Energy Cooperative,11,0.1303 
5125,Rock Energy Cooperative,12,0.1303 
2318,Scenic Rivers Energy Coop,1,0.1363 
2318,Scenic Rivers Energy Coop,2,0.1363 
2318,Scenic Rivers Energy Coop,3,0.1363 
2318,Scenic Rivers Energy Coop,4,0.1363 
2318,Scenic Rivers Energy Coop,5,0.1363 
2318,Scenic Rivers Energy Coop,6,0.1363 
2318,Scenic Rivers Energy Coop,7,0.1363 
2318,Scenic Rivers Energy Coop,8,0.1363 
2318,Scenic Rivers Energy Coop,9,0.1363 
2318,Scenic Rivers Energy Coop,10,0.1363 
2318,Scenic Rivers Energy Coop,11,0.1363 
2318,Scenic Rivers Energy Coop,12,0.1363 
5195,St Croix Electric Coop,1,0.1266 
5195,St Croix Electric Coop,2,0.1266 
5195,St Croix Electric Coop,3,0.1266 
5195,St Croix Electric Coop,4,0.1266 
5195,St Croix Electric Coop,5,0.1266 
5195,St Croix Electric Coop,6,0.1266 
5195,St Croix Electric Coop,7,0.1266 
5195,St Croix Electric Coop,8,0.1266 
5195,St Croix Electric Coop,9,0.1266 
5195,St Croix Electric Coop,10,0.1266 
5195,St Croix Electric Coop,11,0.1266 
5195,St Croix Electric Coop,12,0.1266 
5838,Taylor Electric Coop,1,0.1171 
5838,Taylor Electric Coop,2,0.1171 
5838,Taylor Electric Coop,3,0.1171 
5838,Taylor Electric Coop,4,0.1171 
5838,Taylor Electric Coop,5,0.1171 
5838,Taylor Electric Coop,6,0.1321 
5838,Taylor Electric Coop,7,0.1321 
5838,Taylor Electric Coop,8,0.1321 
5838,Taylor Electric Coop,9,0.1171 
5838,Taylor Electric Coop,10,0.1171 
5838,Taylor Electric Coop,11,0.1171 
5838,Taylor Electric Coop,12,0.1171 
6080,Vernon Electric Coop,1,0.1110 
6080,Vernon Electric Coop,2,0.1110 
6080,Vernon Electric Coop,3,0.1110 
6080,Vernon Electric Coop,4,0.1110 
6080,Vernon Electric Coop,5,0.1110 
6080,Vernon Electric Coop,6,0.1260 
6080,Vernon Electric Coop,7,0.1260 
6080,Vernon Electric Coop,8,0.1260 
6080,Vernon Electric Coop,9,0.1110 
6080,Vernon Electric Coop,10,0.1110 
6080,Vernon Electric Coop,11,0.1110 
6080,Vernon Electric Coop,12,0.1110 
6202,"Washington Island El Coop, Inc",1,0.1360 
6202,"Washington Island El Coop, Inc",2,0.1360 
6202,"Washington Island El Coop, Inc",3,0.1360 
6202,"Washington Island El Coop, Inc",4,0.1360 
6202,"Washington Island El Coop, Inc",5,0.1360 
6202,"Washington Island El Coop, Inc",6,0.1360 
6202,"Washington Island El Coop, Inc",7,0.1360 
6202,"Washington Island El Coop, Inc",8,0.1360 
6202,"Washington Island El Coop, Inc",9,0.1360 
6202,"Washington Island El Coop, Inc",10,0.1360 
6202,"Washington Island El Coop, Inc",11,0.1360 
6202,"Washington Island El Coop, Inc",12,0.1360 
