Utility ID,Utility Name,Bill Date,Energy Charge (per kWh),PCAC/FAC Charge (per kWh),Total Charge (per/kWh)
380,Barron Light And Water Utility,10/1/21,0.086,-0.0001,0.0859
380,Barron Light And Water Utility,11/1/21,0.086,0.0038,0.0898
380,Barron Light And Water Utility,12/1/21,0.086,0.0005,0.0865
380,Barron Light And Water Utility,1/1/22,0.086,-0.0012,0.0848
380,Barron Light And Water Utility,2/1/22,0.086,0.0048,0.0908
380,Barron Light And Water Utility,3/1/22,0.086,0.001,0.087
440,Belmont Municipal Water And Electric Utility,1/31/21,0.0883,0.0046,0.0929
440,Belmont Municipal Water And Electric Utility,2/28/21,0.0883,-0.012,0.0763
440,Belmont Municipal Water And Electric Utility,3/31/21,0.0883,-0.01,0.0783
440,Belmont Municipal Water And Electric Utility,4/30/21,0.0883,0.0166,0.1049
440,Belmont Municipal Water And Electric Utility,5/31/21,0.0883,-0.0206,0.0677
440,Belmont Municipal Water And Electric Utility,6/30/21,0.0883,-0.0015,0.0868
440,Belmont Municipal Water And Electric Utility,7/31/21,0.0883,0.0074,0.0957
440,Belmont Municipal Water And Electric Utility,8/31/21,0.0883,0.021,0.1093
440,Belmont Municipal Water And Electric Utility,9/30/21,0.0883,0.0054,0.0937
440,Belmont Municipal Water And Electric Utility,10/30/21,0.0883,0.0041,0.0924
440,Belmont Municipal Water And Electric Utility,11/30/21,0.0883,0.016,0.1043
440,Belmont Municipal Water And Electric Utility,12/30/21,0.0883,0.0228,0.1111
440,Belmont Municipal Water And Electric Utility,1/31/22,0.0883,0.0168,0.1051
440,Belmont Municipal Water And Electric Utility,2/28/22,0.0883,0.026,0.1143
460,Benton Municipal Electric And Water Utility,1/31/21,0.1064,-0.0176,0.0888
460,Benton Municipal Electric And Water Utility,2/28/21,0.1064,-0.0212,0.0852
460,Benton Municipal Electric And Water Utility,3/31/21,0.1064,-0.0111,0.0953
460,Benton Municipal Electric And Water Utility,4/30/21,0.1064,-0.0023,0.1041
460,Benton Municipal Electric And Water Utility,5/31/21,0.1064,-0.0007,0.1057
460,Benton Municipal Electric And Water Utility,6/30/21,0.1064,0.0052,0.1116
460,Benton Municipal Electric And Water Utility,7/31/21,0.1064,0.0569,0.1633
460,Benton Municipal Electric And Water Utility,8/31/21,0.1064,-0.0016,0.1048
460,Benton Municipal Electric And Water Utility,9/30/21,0.1064,0.0102,0.1166
460,Benton Municipal Electric And Water Utility,10/31/21,0.1064,0.0145,0.1209
460,Benton Municipal Electric And Water Utility,11/30/21,0.1064,0.0043,0.1107
460,Benton Municipal Electric And Water Utility,12/31/21,0.1064,0.0008,0.1072
460,Benton Municipal Electric And Water Utility,1/31/22,0.1064,-0.0069,0.0995
460,Benton Municipal Electric And Water Utility,2/28/22,0.1064,0.0068,0.1132
530,Black Earth Electric Utility,1/31/21,0.1106,-0.0047,0.1059
530,Black Earth Electric Utility,2/28/21,0.1106,-0.0048,0.1058
530,Black Earth Electric Utility,3/31/21,0.1106,-0.0168,0.0938
530,Black Earth Electric Utility,4/30/21,0.1106,-0.0041,0.1065
530,Black Earth Electric Utility,5/31/21,0.1106,-0.0062,0.1044
530,Black Earth Electric Utility,6/30/21,0.1106,0.0043,0.1149
530,Black Earth Electric Utility,7/31/21,0.1106,0.0103,0.1209
530,Black Earth Electric Utility,8/31/21,0.1106,-0.0021,0.1085
530,Black Earth Electric Utility,9/30/21,0.1106,0.0087,0.1193
530,Black Earth Electric Utility,10/31/21,0.1106,0.0123,0.1229
530,Black Earth Electric Utility,11/30/21,0.1106,-0.0032,0.1074
530,Black Earth Electric Utility,12/31/21,0.1106,0.0017,0.1123
530,Black Earth Electric Utility,1/31/22,0.1106,0.0106,0.1212
530,Black Earth Electric Utility,2/28/22,0.1106,-0.0023,0.1083
550,Black River Falls Municipal Electric and Water,1/4/21,0.1179,-0.0129,0.105
550,Black River Falls Municipal Electric and Water,2/3/21,0.1179,-0.0059,0.112
550,Black River Falls Municipal Electric and Water,3/4/21,0.1179,-0.004,0.1139
550,Black River Falls Municipal Electric and Water,4/5/21,0.1179,-0.0072,0.1107
550,Black River Falls Municipal Electric and Water,5/3/21,0.1179,-0.0115,0.1064
550,Black River Falls Municipal Electric and Water,6/3/21,0.1179,-0.0063,0.1116
550,Black River Falls Municipal Electric and Water,7/2/21,0.1179,0.0028,0.1207
550,Black River Falls Municipal Electric and Water,8/2/21,0.1179,0.0149,0.1328
550,Black River Falls Municipal Electric and Water,9/7/21,0.1179,0.0126,0.1305
550,Black River Falls Municipal Electric and Water,10/5/21,0.1179,0.0108,0.1287
550,Black River Falls Municipal Electric and Water,11/4/21,0.1179,0.0014,0.1193
550,Black River Falls Municipal Electric and Water,12/6/21,0.1179,0.0039,0.1218
550,Black River Falls Municipal Electric and Water,1/5/22,0.1179,0.007,0.1249
550,Black River Falls Municipal Electric and Water,2/4/22,0.1179,0.0043,0.1222
580,City of Bloomer Electric Utility,1/1/21,0.08,-0.0038,0.0762
580,City of Bloomer Electric Utility,2/1/21,0.08,0.003,0.083
580,City of Bloomer Electric Utility,3/1/21,0.08,0.0051,0.0851
580,City of Bloomer Electric Utility,4/1/21,0.08,-0.002,0.078
580,City of Bloomer Electric Utility,5/1/21,0.08,0.007,0.087
580,City of Bloomer Electric Utility,6/1/21,0.08,0.0003,0.0803
580,City of Bloomer Electric Utility,7/1/21,0.08,0.0049,0.0849
580,City of Bloomer Electric Utility,8/1/21,0.08,0.007,0.087
580,City of Bloomer Electric Utility,9/1/21,0.08,0.0087,0.0887
580,City of Bloomer Electric Utility,10/1/21,0.08,-0.0017,0.0783
580,City of Bloomer Electric Utility,11/1/21,0.08,-0.0045,0.0755
580,City of Bloomer Electric Utility,12/1/21,0.08,0.0082,0.0882
580,City of Bloomer Electric Utility,1/1/22,0.08,0.0028,0.0828
580,City of Bloomer Electric Utility,2/1/22,0.08,0.0033,0.0833
580,City of Bloomer Electric Utility,3/1/22,0.08,0.0076,0.0876
650,Boscobel Municipal Utilities,1/7/21,0.0885,-0.0056,0.0829
650,Boscobel Municipal Utilities,2/5/21,0.0885,-0.0106,0.0779
650,Boscobel Municipal Utilities,3/5/21,0.0885,-0.0146,0.0739
650,Boscobel Municipal Utilities,4/7/21,0.0885,-0.0123,0.0762
650,Boscobel Municipal Utilities,5/7/21,0.0885,-0.0077,0.0808
650,Boscobel Municipal Utilities,6/7/21,0.0885,-0.0023,0.0862
650,Boscobel Municipal Utilities,7/8/21,0.0885,-0.0035,0.085
650,Boscobel Municipal Utilities,8/6/21,0.0885,0.0181,0.1066
650,Boscobel Municipal Utilities,9/8/21,0.0885,0.0166,0.1051
650,Boscobel Municipal Utilities,10/7/21,0.0885,0.008,0.0965
650,Boscobel Municipal Utilities,11/5/21,0.0885,0.0033,0.0918
650,Boscobel Municipal Utilities,12/7/21,0.0885,-0.0008,0.0877
650,Boscobel Municipal Utilities,1/5/22,0.0885,0.0059,0.0944
650,Boscobel Municipal Utilities,2/4/22,0.0885,0.0034,0.0919
650,Boscobel Municipal Utilities,3/4/22,0.0885,-0.012,0.0765
740,Brodhead Water And Light Commission,1/20/21,0.1143,-0.0129,0.1014
740,Brodhead Water And Light Commission,2/1/21,0.1143,-0.0106,0.1037
740,Brodhead Water And Light Commission,3/1/21,0.1143,-0.0162,0.0981
740,Brodhead Water And Light Commission,4/1/21,0.1143,-0.0093,0.105
740,Brodhead Water And Light Commission,5/1/21,0.1143,-0.0088,0.1055
740,Brodhead Water And Light Commission,6/1/21,0.1143,-0.0083,0.106
740,Brodhead Water And Light Commission,7/1/21,0.1143,-0.0205,0.0938
740,Brodhead Water And Light Commission,8/1/21,0.1143,-0.0005,0.1138
740,Brodhead Water And Light Commission,9/1/21,0.1143,0.0076,0.1219
740,Brodhead Water And Light Commission,10/1/21,0.1143,0.0173,0.1316
740,Brodhead Water And Light Commission,11/1/21,0.1143,0.0122,0.1265
740,Brodhead Water And Light Commission,12/1/21,0.1143,-0.0047,0.1096
740,Brodhead Water And Light Commission,1/20/22,0.1143,-0.001,0.1133
740,Brodhead Water And Light Commission,2/1/22,0.1143,0.0003,0.1146
740,Brodhead Water And Light Commission,3/1/22,0.1143,-0.0038,0.1105
890,Cadott Light And Water Municipal Utility,1/29/21,0.096,0.0185,0.1145
890,Cadott Light And Water Municipal Utility,2/26/21,0.096,0.0127,0.1087
890,Cadott Light And Water Municipal Utility,3/31/21,0.096,0.0074,0.1034
890,Cadott Light And Water Municipal Utility,4/30/21,0.096,0.0166,0.1126
890,Cadott Light And Water Municipal Utility,5/28/21,0.096,0.0132,0.1092
890,Cadott Light And Water Municipal Utility,6/30/21,0.096,0.0223,0.1183
890,Cadott Light And Water Municipal Utility,7/30/21,0.096,0.013,0.109
890,Cadott Light And Water Municipal Utility,8/31/21,0.096,0.0321,0.1281
890,Cadott Light And Water Municipal Utility,9/30/21,0.096,0.0125,0.1085
890,Cadott Light And Water Municipal Utility,10/29/21,0.096,0.0044,0.1004
890,Cadott Light And Water Municipal Utility,11/30/21,0.096,0.0304,0.1264
890,Cadott Light And Water Municipal Utility,12/31/21,0.096,0.02,0.116
890,Cadott Light And Water Municipal Utility,1/31/22,0.096,0.0126,0.1086
890,Cadott Light And Water Municipal Utility,2/28/22,0.096,0.0257,0.1217
970,Cashton Municipal Electric And Water Utility,1/20/21,0.0946,0.0001,0.0947
970,Cashton Municipal Electric And Water Utility,2/28/21,0.0946,-0.004,0.0906
970,Cashton Municipal Electric And Water Utility,3/31/21,0.0946,-0.0072,0.0874
970,Cashton Municipal Electric And Water Utility,4/30/21,0.0946,-0.0013,0.0933
970,Cashton Municipal Electric And Water Utility,5/31/21,0.0946,-0.0027,0.0919
970,Cashton Municipal Electric And Water Utility,6/30/21,0.0946,0,0.0946
970,Cashton Municipal Electric And Water Utility,7/31/21,0.0946,-0.001,0.0936
970,Cashton Municipal Electric And Water Utility,8/31/21,0.0946,-0.0007,0.0939
970,Cashton Municipal Electric And Water Utility,9/30/21,0.0946,-0.0054,0.0892
970,Cashton Municipal Electric And Water Utility,10/31/21,0.0946,-0.0053,0.0893
970,Cashton Municipal Electric And Water Utility,11/30/21,0.0946,-0.0005,0.0941
970,Cashton Municipal Electric And Water Utility,12/31/21,0.0946,-0.003,0.0916
970,Cashton Municipal Electric And Water Utility,1/31/22,0.0946,-0.0033,0.0913
970,Cashton Municipal Electric And Water Utility,2/28/22,0.0946,0.0058,0.1004
1000,Cedarburg Light And Water Commission,1/7/21,0.1131,-0.0204,0.0927
1000,Cedarburg Light And Water Commission,2/4/21,0.1131,-0.0259,0.0872
1000,Cedarburg Light And Water Commission,3/4/21,0.1131,-0.0258,0.0873
1000,Cedarburg Light And Water Commission,4/8/21,0.1131,-0.0226,0.0905
1000,Cedarburg Light And Water Commission,5/5/21,0.1131,-0.0227,0.0904
1000,Cedarburg Light And Water Commission,6/7/21,0.1131,-0.0167,0.0964
1000,Cedarburg Light And Water Commission,7/7/21,0.1131,-0.0117,0.1014
1000,Cedarburg Light And Water Commission,8/5/21,0.1131,0.0087,0.1218
1000,Cedarburg Light And Water Commission,9/9/21,0.1131,0.0016,0.1147
1000,Cedarburg Light And Water Commission,10/6/21,0.1131,-0.0002,0.1129
1000,Cedarburg Light And Water Commission,11/9/21,0.1131,-0.0148,0.0983
1000,Cedarburg Light And Water Commission,12/9/21,0.1131,-0.0081,0.105
1000,Cedarburg Light And Water Commission,1/10/22,0.1131,-0.008,0.1051
1000,Cedarburg Light And Water Commission,2/8/22,0.1131,-0.0127,0.1004
1200,Clintonville Water and Electric Utility,1/29/21,0.1034,0.0026,0.106
1200,Clintonville Water and Electric Utility,2/26/21,0.1034,-0.004,0.0994
1200,Clintonville Water and Electric Utility,3/31/21,0.1034,-0.0076,0.0958
1200,Clintonville Water and Electric Utility,4/30/21,0.1034,-0.0037,0.0997
1200,Clintonville Water and Electric Utility,5/28/21,0.1034,-0.001,0.1024
1200,Clintonville Water and Electric Utility,6/30/21,0.1034,0.0045,0.1079
1200,Clintonville Water and Electric Utility,7/29/21,0.1034,-0.0022,0.1012
1200,Clintonville Water and Electric Utility,8/31/21,0.1034,0.002,0.1054
1200,Clintonville Water and Electric Utility,9/30/21,0.1034,-0.0079,0.0955
1200,Clintonville Water and Electric Utility,10/29/21,0.1034,-0.0021,0.1013
1200,Clintonville Water and Electric Utility,11/30/21,0.1034,-0.0026,0.1008
1200,Clintonville Water and Electric Utility,12/27/21,0.1034,0.0018,0.1052
1200,Clintonville Water and Electric Utility,1/31/22,0.1034,-0.003,0.1004
1200,Clintonville Water and Electric Utility,2/28/22,0.1034,-0.0021,0.1013
1300,Columbus Water And Light Department,1/8/21,0.1141,-0.0106,0.1035
1300,Columbus Water And Light Department,2/8/21,0.1141,-0.0105,0.1036
1300,Columbus Water And Light Department,3/8/21,0.1141,-0.0156,0.0985
1300,Columbus Water And Light Department,4/8/21,0.1141,-0.0171,0.097
1300,Columbus Water And Light Department,5/8/21,0.1141,-0.0204,0.0937
1300,Columbus Water And Light Department,6/8/21,0.1141,0.0089,0.123
1300,Columbus Water And Light Department,7/8/21,0.1141,-0.0099,0.1042
1300,Columbus Water And Light Department,8/8/21,0.1141,0.0129,0.127
1300,Columbus Water And Light Department,9/8/21,0.1141,0.0078,0.1219
1300,Columbus Water And Light Department,10/8/21,0.1141,0.0075,0.1216
1300,Columbus Water And Light Department,11/8/21,0.1141,-0.0015,0.1126
1300,Columbus Water And Light Department,12/8/21,0.1141,-0.0031,0.111
1300,Columbus Water And Light Department,1/8/22,0.1141,0.0027,0.1168
1300,Columbus Water And Light Department,2/8/22,0.1141,-0.0057,0.1084
1330,Consolidated Water Power Company,1/5/21,0.087,-0.0104,0.0766
1330,Consolidated Water Power Company,2/2/21,0.087,-0.0145,0.0725
1330,Consolidated Water Power Company,3/2/21,0.087,0.0253,0.1123
1330,Consolidated Water Power Company,4/2/21,0.087,-0.0034,0.0836
1330,Consolidated Water Power Company,5/4/21,0.087,-0.0024,0.0846
1330,Consolidated Water Power Company,6/2/21,0.087,-0.0024,0.0846
1330,Consolidated Water Power Company,7/2/21,0.087,0.0028,0.0898
1330,Consolidated Water Power Company,8/3/21,0.087,0.0034,0.0904
1330,Consolidated Water Power Company,9/2/21,0.087,0.0043,0.0913
1330,Consolidated Water Power Company,10/4/21,0.087,0.0096,0.0966
1330,Consolidated Water Power Company,11/2/21,0.087,0.0122,0.0992
1330,Consolidated Water Power Company,12/2/21,0.087,0.0131,0.1001
1330,Consolidated Water Power Company,1/5/22,0.087,0.0049,0.0919
1330,Consolidated Water Power Company,2/2/22,0.087,0.0095,0.0965
1330,Consolidated Water Power Company,3/2/22,0.087,0.0112,0.0982
1370,Cornell Municipal Water And Electric Utility,1/1/21,0.0926,-0.0088,0.0838
1370,Cornell Municipal Water And Electric Utility,2/1/21,0.0926,0.0023,0.0949
1370,Cornell Municipal Water And Electric Utility,3/1/21,0.0926,-0.0056,0.087
1370,Cornell Municipal Water And Electric Utility,4/1/21,0.0926,-0.0157,0.0769
1370,Cornell Municipal Water And Electric Utility,5/1/21,0.0926,-0.0054,0.0872
1370,Cornell Municipal Water And Electric Utility,6/1/21,0.0926,-0.0126,0.08
1370,Cornell Municipal Water And Electric Utility,7/1/21,0.0926,-0.0017,0.0909
1370,Cornell Municipal Water And Electric Utility,8/1/21,0.0926,-0.0064,0.0862
1370,Cornell Municipal Water And Electric Utility,9/1/21,0.0926,0.0094,0.102
1370,Cornell Municipal Water And Electric Utility,10/1/21,0.0926,-0.0027,0.0899
1370,Cornell Municipal Water And Electric Utility,11/1/21,0.0926,-0.013,0.0796
1370,Cornell Municipal Water And Electric Utility,12/1/21,0.0926,0.0103,0.1029
1370,Cornell Municipal Water And Electric Utility,1/1/22,0.0926,-0.0054,0.0872
1370,Cornell Municipal Water And Electric Utility,2/1/22,0.0926,-0.0018,0.0908
1370,Cornell Municipal Water And Electric Utility,3/1/22,0.0926,0.0047,0.0973
1470,Cuba City Electric and Water Utility,1/1/21,0.0984,-0.0049,0.0935
1470,Cuba City Electric and Water Utility,2/1/21,0.0984,0.0064,0.1048
1470,Cuba City Electric and Water Utility,3/1/21,0.0984,-0.0077,0.0907
1470,Cuba City Electric and Water Utility,4/1/21,0.0984,-0.0128,0.0856
1470,Cuba City Electric and Water Utility,5/1/21,0.0984,-0.0033,0.0951
1470,Cuba City Electric and Water Utility,6/1/21,0.0984,-0.008,0.0904
1470,Cuba City Electric and Water Utility,7/1/21,0.0984,0.0017,0.1001
1470,Cuba City Electric and Water Utility,8/1/21,0.0984,0.0147,0.1131
1470,Cuba City Electric and Water Utility,9/1/21,0.0984,0.0302,0.1286
1470,Cuba City Electric and Water Utility,10/1/21,0.0984,0.0216,0.12
1470,Cuba City Electric and Water Utility,11/1/21,0.0984,0.0162,0.1146
1470,Cuba City Electric and Water Utility,12/1/21,0.0984,-0.0075,0.0909
1470,Cuba City Electric and Water Utility,1/1/22,0.0984,0.0099,0.1083
1470,Cuba City Electric and Water Utility,2/1/22,0.0984,0.0164,0.1148
1470,Cuba City Electric and Water Utility,3/1/22,0.0984,0.0056,0.104
1490,Cumberland Municipal Utility,1/12/21,0.1175,-0.0076,0.1099
1490,Cumberland Municipal Utility,2/9/21,0.1175,-0.0108,0.1067
1490,Cumberland Municipal Utility,3/9/21,0.1175,-0.0141,0.1034
1490,Cumberland Municipal Utility,4/9/21,0.1175,-0.0049,0.1126
1490,Cumberland Municipal Utility,5/11/21,0.1175,-0.0086,0.1089
1490,Cumberland Municipal Utility,6/11/21,0.1175,-0.0073,0.1102
1490,Cumberland Municipal Utility,7/12/21,0.1175,-0.0092,0.1083
1490,Cumberland Municipal Utility,8/10/21,0.1175,-0.0099,0.1076
1490,Cumberland Municipal Utility,9/10/21,0.1175,-0.0107,0.1068
1490,Cumberland Municipal Utility,10/11/21,0.1175,-0.0108,0.1067
1490,Cumberland Municipal Utility,11/10/21,0.1175,-0.0032,0.1143
1490,Cumberland Municipal Utility,12/10/21,0.1175,0.0012,0.1187
1490,Cumberland Municipal Utility,1/12/22,0.1175,-0.0115,0.106
1490,Cumberland Municipal Utility,2/10/22,0.1175,-0.0029,0.1146
1510,Dahlberg Light And Power Company,1/13/21,0.1198,0.0048,0.1246
1510,Dahlberg Light And Power Company,2/10/21,0.1198,-0.0014,0.1184
1510,Dahlberg Light And Power Company,3/15/21,0.1198,-0.0049,0.1149
1510,Dahlberg Light And Power Company,4/12/21,0.1198,0.0004,0.1202
1510,Dahlberg Light And Power Company,5/13/21,0.1198,-0.0051,0.1147
1510,Dahlberg Light And Power Company,6/10/21,0.1198,-0.0051,0.1147
1510,Dahlberg Light And Power Company,7/13/21,0.1198,0.0037,0.1235
1510,Dahlberg Light And Power Company,8/12/21,0.1198,0.0035,0.1233
1510,Dahlberg Light And Power Company,9/14/21,0.1198,-0.0038,0.116
1510,Dahlberg Light And Power Company,10/13/21,0.1198,-0.016,0.1038
1510,Dahlberg Light And Power Company,11/11/21,0.1198,-0.0096,0.1102
1510,Dahlberg Light And Power Company,12/13/21,0.1198,0,0.1198
1510,Dahlberg Light And Power Company,1/13/22,0.1198,0.0004,0.1202
1510,Dahlberg Light And Power Company,2/11/22,0.1198,-0.0167,0.1031
1710,Eagle River Light And Water Commission,1/7/21,0.099,-0.012,0.087
1710,Eagle River Light And Water Commission,2/5/21,0.099,-0.0098,0.0892
1710,Eagle River Light And Water Commission,3/5/21,0.099,-0.012,0.087
1710,Eagle River Light And Water Commission,4/7/21,0.0995,-0.0054,0.0941
1710,Eagle River Light And Water Commission,5/6/21,0.0995,-0.0038,0.0957
1710,Eagle River Light And Water Commission,6/4/21,0.0995,-0.0058,0.0937
1710,Eagle River Light And Water Commission,7/6/21,0.0995,0.0028,0.1023
1710,Eagle River Light And Water Commission,8/5/21,0.0995,0.0163,0.1158
1710,Eagle River Light And Water Commission,9/7/21,0.0995,0.0145,0.114
1710,Eagle River Light And Water Commission,10/6/21,0.0995,0.0171,0.1166
1710,Eagle River Light And Water Commission,11/4/21,0.0995,0.0029,0.1024
1710,Eagle River Light And Water Commission,12/7/21,0.0995,0.0079,0.1074
1710,Eagle River Light And Water Commission,1/6/22,0.0995,0.0074,0.1069
1710,Eagle River Light And Water Commission,2/4/22,0.0995,0.0016,0.1011
1710,Eagle River Light And Water Commission,3/4/22,0.0995,-0.0014,0.0981
1800,Elkhorn Light And Water,1/26/21,0.1021,-0.0153,0.0868
1800,Elkhorn Light And Water,2/23/21,0.1021,-0.0088,0.0933
1800,Elkhorn Light And Water,3/25/21,0.1021,-0.011,0.0911
1800,Elkhorn Light And Water,4/27/21,0.1021,-0.0066,0.0955
1800,Elkhorn Light And Water,5/25/21,0.1021,-0.0253,0.0768
1800,Elkhorn Light And Water,6/25/21,0.1021,0.0086,0.1107
1800,Elkhorn Light And Water,7/27/21,0.1021,0.0044,0.1065
1800,Elkhorn Light And Water,8/26/21,0.1021,0.0076,0.1097
1800,Elkhorn Light And Water,9/24/21,0.1021,0.0042,0.1063
1800,Elkhorn Light And Water,10/26/21,0.1021,0.0006,0.1027
1800,Elkhorn Light And Water,11/23/21,0.1021,0.0139,0.116
1800,Elkhorn Light And Water,12/22/21,0.1021,0.0133,0.1154
1800,Elkhorn Light And Water,1/25/22,0.1021,0.0087,0.1108
1800,Elkhorn Light And Water,2/23/22,0.1021,0.013,0.1151
1850,Elroy Municipal Electric And Water Utility,1/31/21,0.0955,0,0.0955
1850,Elroy Municipal Electric And Water Utility,2/28/21,0.0955,0.0064,0.1019
1850,Elroy Municipal Electric And Water Utility,3/31/21,0.0955,-0.0088,0.0867
1850,Elroy Municipal Electric And Water Utility,4/30/21,0.0955,0.004,0.0995
1850,Elroy Municipal Electric And Water Utility,5/31/21,0.0955,0.0015,0.097
1850,Elroy Municipal Electric And Water Utility,6/30/21,0.0955,0.0009,0.0964
1850,Elroy Municipal Electric And Water Utility,7/31/21,0.0955,0.0052,0.1007
1850,Elroy Municipal Electric And Water Utility,8/31/21,0.0955,-0.0005,0.095
1850,Elroy Municipal Electric And Water Utility,9/30/21,0.0955,-0.0003,0.0952
1850,Elroy Municipal Electric And Water Utility,10/31/21,0.0955,-0.001,0.0945
1850,Elroy Municipal Electric And Water Utility,11/30/21,0.0955,0.008,0.1035
1850,Elroy Municipal Electric And Water Utility,12/31/21,0.0955,0.0055,0.101
1850,Elroy Municipal Electric And Water Utility,1/31/22,0.0955,0.0009,0.0964
1850,Elroy Municipal Electric And Water Utility,2/28/22,0.0955,0.0098,0.1053
1880,City of Evansville Water and Light,1/8/21,0.1178,-0.009,0.1088
1880,City of Evansville Water and Light,2/8/21,0.1178,-0.0151,0.1027
1880,City of Evansville Water and Light,3/8/21,0.1178,-0.0156,0.1022
1880,City of Evansville Water and Light,4/8/21,0.1178,-0.0136,0.1042
